scenario_id,wt_cell_id,sca_cell_id,wt_animal_id,sca_animal_id,wt_solution_key,sca_solution_key,wt_source,sca_source,wt_b,wt_r,wt_s,wt_kappa_I,sca_b,sca_r,sca_s,sca_kappa_I,wt_rheobase_J_endpoint,sca_rheobase_J_endpoint,wt_J_q75,sca_J_q75,wt_active_support_ms,sca_active_support_ms,wt_within_cell_support_weight,sca_within_cell_support_weight,wt_group_support_weight,sca_group_support_weight,biological_pair_weight,within_pair_support_weight,scenario_weight,biological_pair_key,analysis_within_pair_weight,analysis_pair_weight,analysis_scenario_weight
178,WT_04,SCA3_06,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,best,r_LOW,best,4.624715502551803,0.0121402165240181,1.99140956469948,3.2477275735087914,3.32112664756946,0.000172535267681,1.80693033257445,0.227320885419926,0.2089558561889902,2.6193641451069944,0.510791291438894,3.418126288257755,981.6328124999992,940.8140625,0.1666666666666666,1.0,0.0138888888888888,0.1666666666666666,0.0138888888888888,0.1666666666666666,0.0023148148148147,WT_04__TO__SCA3_06,0.1666666666666666,0.03125,0.0052083333333333
179,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,best,r_LOW,best,4.624715502551803,0.0121402165240181,1.99140956469948,3.2477275735087914,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.2089558561889902,1.1297503959031543,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
180,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,b_LOW,r_LOW,b_LOW,4.624715502551803,0.0121402165240181,1.99140956469948,3.2477275735087914,2.343229745087469,0.0707211746046489,9.492341680611522,1.867338351782506,0.2089558561889902,1.112296386977684,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
181,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,kappa_I_HIGH,r_LOW,kappa_I_HIGH,4.624715502551803,0.0121402165240181,1.99140956469948,3.2477275735087914,2.944433158643898,0.0709704363934802,5.596694353801012,1.8396682166250728,0.2089558561889902,1.0488272636123384,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
182,WT_04,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,best,r_HIGH,best,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.19448111659508144,3.682092790624826,0.510791291438894,4.234406709218552,981.6328124999992,872.4000000000001,0.1666666666666666,0.5,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074073,WT_04__TO__SCA3_01,0.0833333333333333,0.03125,0.0026041666666666
183,WT_04,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,r_HIGH,r_HIGH,r_HIGH,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,4.180844445717766,0.098238929690672,1.4104174994872096,0.1857069883165186,0.19448111659508144,3.509494691064287,0.510791291438894,4.234406709218552,981.6328124999992,872.4000000000001,0.1666666666666666,0.5,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074073,WT_04__TO__SCA3_01,0.0833333333333333,0.03125,0.0026041666666666
191,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,best,r_HIGH,best,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,0.19448111659508144,1.499317765801742,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
192,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,b_LOW,r_HIGH,b_LOW,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,1.874040756842884,0.0913896204225457,12.973660656527498,1.436445397435119,0.19448111659508144,1.7238645762806304,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
193,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,b_HIGH,r_HIGH,b_HIGH,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,4.030928926785516,0.0018911628599607,4.857666419592209,0.5419415853706036,0.19448111659508144,1.5811837904555035,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
194,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,r_LOW,r_HIGH,r_LOW,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,4.587716029893826,0.0049504499800163,3.025643669356378,0.5239567619128062,0.19448111659508144,1.7963744838311049,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
195,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,s_HIGH,r_HIGH,s_HIGH,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,3.463954750279856,0.0005984977503139,8.308396473112523,0.3973791380811426,0.19448111659508144,1.499317765801742,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
196,WT_04,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_HIGH,kappa_I_LOW,r_HIGH,kappa_I_LOW,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,4.537119540928005,0.0633243055488632,0.8420821742217344,0.0823629287310146,0.19448111659508144,1.6887791371433043,0.510791291438894,3.069391167197093,981.6328124999992,141.5189453124997,0.1666666666666666,0.1666666666666666,0.0138888888888888,0.0277777777777777,0.0138888888888888,0.0277777777777777,0.0003858024691357,WT_04__TO__SCA3_04,0.0277777777777777,0.03125,0.0008680555555555
204,WT_04,SCA3_06,NA_NOT_RECOVERABLE,SCA3_AN02,r_HIGH,best,r_HIGH,best,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,3.32112664756946,0.000172535267681,1.80693033257445,0.227320885419926,0.19448111659508144,2.6193641451069944,0.510791291438894,3.418126288257755,981.6328124999992,940.8140625,0.1666666666666666,1.0,0.0138888888888888,0.1666666666666666,0.0138888888888888,0.1666666666666666,0.0023148148148147,WT_04__TO__SCA3_06,0.1666666666666666,0.03125,0.0052083333333333
205,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_HIGH,best,r_HIGH,best,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,0.19448111659508144,1.1297503959031543,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
206,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_HIGH,b_LOW,r_HIGH,b_LOW,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,2.343229745087469,0.0707211746046489,9.492341680611522,1.867338351782506,0.19448111659508144,1.112296386977684,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
207,WT_04,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_HIGH,kappa_I_HIGH,r_HIGH,kappa_I_HIGH,3.065695095084834,0.0878416356744239,0.4108667249190021,1.1495766603596898,2.944433158643898,0.0709704363934802,5.596694353801012,1.8396682166250728,0.19448111659508144,1.0488272636123384,0.510791291438894,2.110348351897745,981.6328124999992,835.3968750000003,0.1666666666666666,0.3333333333333333,0.0138888888888888,0.0555555555555555,0.0138888888888888,0.0555555555555555,0.0007716049382715,WT_04__TO__SCA3_09,0.0555555555555555,0.03125,0.0017361111111111
208,WT_04,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,s_HIGH,best,s_HIGH,best,4.9822056485118775,0.0015351811469617,2.0918407503909955,2.82896018391029,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,0.19670799960952895,3.682092790624826,0.510791291438894,4.234406709218552,981.6328124999992,872.4000000000001,0.1666666666666666,0.5,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074073,WT_04__TO__SCA3_01,0.0833333333333333,0.03125,0.0026041666666666
209,WT_04,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,s_HIGH,r_HIGH,s_HIGH,r_HIGH,4.9822056485118775,0.0015351811469617,2.0918407503909955,2.82896018391029,4.180844445717766,0.098238929690672,1.4104174994872096,0.1857069883165186,0.19670799960952895,3.509494691064287,0.510791291438894,4.234406709218552,981.6328124999992,872.4000000000001,0.1666666666666666,0.5,0.0138888888888888,0.0833333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074073,WT_04__TO__SCA3_01,0.0833333333333333,0.03125,0.0026041666666666
