biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_rate_weighted_median,A_isi_weighted_median,rheobase_J_weighted_median,support_rate_hz_weighted_median,mean_isi_ms_weighted_median,J_over_rheobase_weighted_median,orth_rate_weighted_median,orth_isi_weighted_median
WT_04__TO__SCA3_06,drive_early,1.0,WT_04,SCA3_06,1.2283284053237398,1.2176321589415238,5.2388099862489765,31.887278470606407,31.48127944764869,1.3048752962961352,0.293255953015185,0.25417131102584345
WT_04__TO__SCA3_06,drive_late,0.0,WT_04,SCA3_06,0.046620231571254576,0.04758955886245251,0.3889622331901629,68.25362716774512,14.62021568356717,2.5966981132075433,0.9995612391041668,0.9654186931694702
WT_04__TO__SCA3_06,drive_late,0.025,WT_04,SCA3_06,0.0514125562678566,0.04366425573535562,0.37924674924346236,68.32465492304799,14.431174375100479,2.547962381728391,1.0429245194146788,0.9989871348934246
WT_04__TO__SCA3_06,drive_late,0.05,WT_04,SCA3_06,0.045102872786488814,0.04353665071196757,0.36711774843226586,66.35416407470719,14.538749474381305,2.6342129922521424,1.0235635598687574,1.0173882228089395
WT_04__TO__SCA3_06,drive_late,0.07500000000000001,WT_04,SCA3_06,0.025088531472052818,0.02670331010215446,0.3626686052194298,62.335767845250224,14.376477232219699,2.7805575103514233,1.0241052856200323,1.0145091233799493
WT_04__TO__SCA3_06,drive_late,0.1,WT_04,SCA3_06,0.008230601633146406,0.009868361693085336,0.35386300927735836,59.331946576952724,14.157766620109888,2.9180631637002845,1.0253239139379702,1.0020741299112714
WT_04__TO__SCA3_06,drive_late,0.125,WT_04,SCA3_06,-0.011570333698759958,-0.01242268581128629,0.34955193626405257,57.34588094489504,13.894906394776791,3.1197595085288152,1.006740045624847,0.994103366127634
WT_04__TO__SCA3_06,drive_late,0.15000000000000002,WT_04,SCA3_06,-0.02819909783358629,-0.03383460269830741,0.3410196042585515,55.35566011624693,13.597318638604268,3.3124916369396558,0.9952836396939218,0.9665501775553406
WT_04__TO__SCA3_06,drive_late,0.17500000000000002,WT_04,SCA3_06,-0.05428971990185609,-0.05629066330348547,0.33684231671419157,54.38744932643425,13.287116084553718,3.534628205843646,0.9516175304615307,0.9356226116643958
WT_04__TO__SCA3_06,drive_late,0.2,WT_04,SCA3_06,-0.07682313068982614,-0.0769093497130744,0.3327085425817521,52.389954611423555,12.963429838849741,3.741101037080538,0.8972626832232214,0.8882821395997789
WT_04__TO__SCA3_06,drive_late,0.225,WT_04,SCA3_06,-0.09286703769235256,-0.10196249983243738,0.32700653240762967,51.4165996242411,12.622418445387009,4.0045004768180466,0.8882292304005305,0.8488083310466246
