path_family,path_progress,n_biological_pairs,A_rate_median,A_rate_q25,A_rate_q75,A_rate_n,A_isi_median,A_isi_q25,A_isi_q75,A_isi_n,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,rheobase_J_n,support_rate_hz_median,support_rate_hz_q25,support_rate_hz_q75,support_rate_hz_n,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,mean_isi_ms_n,J_over_rheobase_median,J_over_rheobase_q25,J_over_rheobase_q75,J_over_rheobase_n,orth_rate_median,orth_rate_q25,orth_rate_q75,orth_rate_n,orth_isi_median,orth_isi_q25,orth_isi_q75,orth_isi_n
coupled,0.775,72,0.6331493990636561,0.4490659551389051,0.7980793501277236,72,0.586362807226717,0.4363589144007093,0.6764044007805424,72,1.7510224579845477,1.3011609818952672,2.4211057102438156,72,51.134608521415494,37.060007001500345,61.34906864575664,72,17.448498374721815,15.497750624244256,19.56014787095167,72,2.188796226392925,1.9563104716716797,3.0352107808673865,72,0.5791309091775607,0.328767211553713,0.877317879101099,72,0.3849793368943465,0.2826467899509181,0.7146727974031002,72
coupled,0.8,72,0.6674528993196078,0.47815967587889063,0.8109591492566954,72,0.6040429600215786,0.46867191441141165,0.6956063535899815,72,1.7901346082008158,1.443820558854067,2.4894754148235,72,50.32759583864796,36.55596955239155,60.109266262953334,72,17.685367061567913,15.671928977198885,19.99823247054736,72,2.142413998756077,1.908970681364523,2.8015354019377643,72,0.5577502091984741,0.31054287062193175,0.7940033043790564,72,0.41240449725132144,0.27081314357716124,0.7137557412976735,72
coupled,0.8250000000000001,72,0.7110339499920056,0.5219770450417502,0.8430482666593859,72,0.6355786837481114,0.5098340345783421,0.7475021376118248,72,1.9271639380193673,1.5389917973012959,2.695080269592652,72,48.2538239553443,36.41212893531244,58.279952815858465,72,17.93979737809253,16.232186664878874,21.03030724361922,72,2.1042612626210273,1.848410326455811,2.574948931591254,72,0.4898620180005595,0.33054451564098164,0.7910097455032289,72,0.40596746184899163,0.2685307152097897,0.6591725436263407,72
coupled,0.8500000000000001,72,0.7525195048125815,0.5501948402854339,0.8565707863527325,72,0.6585837311578457,0.5620023573737523,0.7823250018422576,72,2.0618588750367275,1.6518471017667893,3.1304878870252524,72,47.4503444124483,35.599086664605466,57.298490481771594,72,18.2672340032313,16.77288417215896,22.01238327971892,72,2.0862033599585175,1.7553320918870454,2.461481386766343,72,0.4877025229055858,0.305909858948199,0.8013093058356364,72,0.36705592156240435,0.247781790635569,0.6310664749818579,72
coupled,0.875,72,0.7791531182123144,0.6160984820260074,0.8853878743274832,72,0.6817641981281284,0.6145432443870619,0.8567161012133229,72,2.1677922873114497,1.6819036703706756,3.601511037629834,72,47.58674358675534,35.32119945304915,56.80984925440674,72,18.654060576226694,16.869003542026025,22.7988488071826,72,2.0317321229251775,1.6673469606392564,2.3151911730699815,72,0.43457082617183584,0.29666851218887846,0.7827923921927156,72,0.3561267284325117,0.24598676003334474,0.6962725769742147,72
coupled,0.9,72,0.8083367902541104,0.6405527245381274,0.8984313480166441,72,0.7215312731894159,0.6193937078515848,0.8872699588951735,72,2.2365341230031195,1.7810886619650161,4.0574702596253465,72,47.26386015345918,36.225296593999346,53.72785059950283,72,19.16742170158113,17.537080367960847,24.193778043732888,72,2.0069433506852237,1.5712026750698982,2.239724285291957,72,0.40288497315562616,0.3043783861293824,0.7587365334972538,72,0.36270839687812406,0.20716757472721176,0.7358749867665619,72
coupled,0.925,72,0.8366957919744613,0.6590855145614235,0.9106062632375959,72,0.7827113591809571,0.6409931355334448,0.9002410766436528,72,2.432020259716839,1.8870908581795023,4.361185463592847,72,47.17307555830137,37.08176935358052,52.99552244774938,72,19.833739486153416,18.292418227232545,24.12601125166089,72,1.9763558921005382,1.4866808286911308,2.1769799863231585,72,0.4067083630142254,0.2726724049544303,0.7892421694166135,72,0.3546980493781017,0.22543636384614008,0.7632052819595442,72
coupled,0.9500000000000001,72,0.8659410044030533,0.685106524926013,0.9476059005594907,72,0.8149534372055929,0.6616774860202764,0.9393685814290821,72,2.568445117204021,2.0131561747090094,4.63786861442132,72,45.55500842169749,36.17014426645425,51.81965061197505,72,19.990261009133036,18.330725154510482,25.66626116081335,72,1.948503721095776,1.4106615997159604,2.085868412323462,72,0.38631169830826195,0.2216178158518323,0.7771445624086873,72,0.2683337372340705,0.15705310167754322,0.8061843799366858,72
coupled,0.9750000000000001,72,0.8898872181275586,0.7259672590786936,1.0114634420864101,72,0.8335742665542699,0.6713452834628219,1.0035932351357972,72,2.661374276919652,2.0625086507780335,4.931735911871918,72,45.687040400880335,36.929827525299544,49.87450462665004,72,20.208904538625767,18.9037603133617,27.091533041929967,72,1.917059112406331,1.337669214968836,2.0097432332875247,72,0.44998592972317625,0.2884379113797543,0.7958785220055966,72,0.32999094850157007,0.195922672781266,0.7854137563328975,72
coupled,1.0,72,0.8671179518770957,0.7328261952407467,1.074143374815176,72,0.8149065164431801,0.6666014866759782,1.057616228350235,72,2.800264895021555,2.2224958294181976,5.239370818325304,72,43.23512001200342,37.108111040037095,49.46334206026423,72,20.63873762028832,17.79220798666679,27.797305944015132,72,1.839717561018629,1.3046515319044958,1.8970928033804662,72,0.3435195168047679,0.3378964997587835,0.751006328616314,72,0.3061970444887427,0.2539974380791592,0.7784041961818056,72
drive_early,0.0,72,0.0379380847956899,-0.13536104445565197,0.10787258697038103,72,0.03428345003793513,-0.1405654442504159,0.09548151834449355,72,0.6314551640116268,0.5034226712413061,0.9283563609557556,72,83.83551113555984,74.08466033243721,100.08494077765576,72,11.682136411998439,9.663919541267385,13.238030966635943,72,1.8946410010801564,1.6588469123628755,2.5701867982405338,72,0.4111509232983799,0.2816766335384453,0.9258172146354561,72,0.41534924175540155,0.2406752698896632,0.625658878700045,72
drive_early,0.025,72,-0.005981110692568776,-0.14681925368357632,0.11179991393785209,72,-0.014887463101877921,-0.16034014922667167,0.11033300107488958,72,0.6600453856388324,0.5316480729228595,0.9905040070579576,72,89.52508368229024,79.028147842097,103.11409225287468,72,10.868305344815628,9.541116616962865,12.492037938176539,72,2.1907438302988558,1.758805876103169,2.7464397589427514,72,0.4869045640171269,0.3080488513187111,0.6308141419086013,72,0.4816585844410364,0.32178905309067984,0.5986976059113223,72
drive_early,0.05,72,-0.02433831791023982,-0.14900609267882503,0.1252067940849114,72,-0.035785367822548514,-0.16102137989953805,0.11686225888828007,72,0.7066767864183781,0.536962881348293,1.0139533936016416,72,92.25820182736709,80.77640652601931,102.65502230926855,72,10.494925836154636,9.523621460066508,11.978599876994739,72,2.3961682299824894,1.9508647112042394,2.903181299656849,72,0.5416816809362404,0.3181010901338962,0.7057051639999603,72,0.5252473664164954,0.31501157818447667,0.6756657607165539,72
drive_early,0.07500000000000001,72,-0.0215677346945485,-0.13854119491488553,0.13726514294953898,72,-0.03606185803009243,-0.15245011053294516,0.1309717171813842,72,0.755406227655955,0.5800275335382015,1.0173514523544673,72,92.55604908623513,80.30669889958176,104.10233847097527,72,10.437947939433498,9.371234656568918,12.028819701782247,72,2.553556216703867,2.0809599251432904,3.077967710803708,72,0.5674888630842803,0.35225868351500755,0.8036239673805704,72,0.5484943050046234,0.3596196006120166,0.780612802964512,72
drive_early,0.1,72,0.000668077622874858,-0.1175863887090641,0.15954524774559273,72,-0.011654773381387665,-0.13318761574396198,0.14480528960131583,72,0.81572549773218,0.5871196640781784,1.0604790101688972,72,92.20136137287724,78.47380727828758,104.26242260084382,72,10.398240291181299,9.313303377613911,11.843130836182565,72,2.6393875687533126,2.2032343888784807,3.194125871097821,72,0.5723949417730975,0.41636065870054306,0.8997217788853722,72,0.5756843013919997,0.39096673732083836,0.8851703693089289,72
drive_early,0.125,72,0.016957322271298533,-0.10199828195312383,0.1616646156956722,72,0.011818287699146661,-0.11733531886732605,0.14308750425918287,72,0.8916181456235912,0.6226044084690485,1.120618732954235,72,89.62735945016094,78.13978923199917,102.9989320182391,72,10.505885497548075,9.313003773813293,12.317939987992473,72,2.7159647270291147,2.241744013996302,3.3935905199717036,72,0.5998819191810487,0.38197111730621747,0.9046637362721668,72,0.5971463499120444,0.38795371981444937,0.9020003311482881,72
drive_early,0.15000000000000002,72,0.045302949969245804,-0.08630135134203501,0.1633805386645329,72,0.034062283819251395,-0.09938035874346507,0.14145515296726593,72,0.9142810042773925,0.6789730183752808,1.122764061145674,72,87.08547177863848,77.31053091076485,102.5182719432274,72,10.808929117439902,9.4047897835266,12.531572764000668,72,2.8093188883370153,2.281696334296461,3.4862393549078323,72,0.6233233991163296,0.38013098856417704,0.955069062786621,72,0.5957426627570057,0.39024827716789906,0.9128442529988064,72
drive_early,0.17500000000000002,72,0.07653745652487254,-0.06966538494829305,0.19300875050102537,72,0.05723112633035295,-0.07571377742543377,0.17608828618201203,72,0.9348889039746433,0.7149546642270637,1.1924628854223025,72,84.90469845313572,73.74173555613083,99.52560133227814,72,10.934836026363712,9.519855408864135,12.907710327876163,72,2.8436602496020127,2.409716647917012,3.572235614741838,72,0.6828543849185305,0.4312254100433085,1.0099180396228489,72,0.6250099779860263,0.43972245546018346,1.0053574664007314,72
