biological_pair_key,n_support_scenarios,fisher_interior_peak_p_median,fisher_interior_peak_p_q25,fisher_interior_peak_p_q75,fisher_interior_peak_p_support_weight,entropy_peak_p_median,entropy_peak_p_q25,entropy_peak_p_q75,entropy_peak_p_support_weight,epr_peak_p_median,epr_peak_p_q25,epr_peak_p_q75,epr_peak_p_support_weight,kl_balance_p_median,kl_balance_p_q25,kl_balance_p_q75,kl_balance_p_support_weight,epr_onset_p_median,epr_onset_p_q25,epr_onset_p_q75,epr_onset_p_support_weight,median_split_js,min_epr_retained_mass,wt_exit_p_isi_weighted_median,balance_p_isi_weighted_median,sca3_entry_p_isi_weighted_median
WT_13__TO__SCA3_06,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.3089445237627204,0.3089445237627204,0.3089445237627204,1.0,0.6,0.6,0.6,1.0,0.0010038890558627,0.9993638735577264,0.4266001227775445,0.6467993769342012,0.8032198498453157
WT_13__TO__SCA3_09,3,0.6333333333333333,0.5333333333333333,0.7833333333333333,1.0,0.75,0.6666666666666666,0.875,1.0,0.3,0.0333333333333333,0.5833333333333334,1.0,0.2379875711984834,0.1319480018846185,0.3858809743997001,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0008754286653632,0.9994614379061946,0.126280884097562,0.2860452529623352,0.6435260045944206
WT_14__TO__SCA3_01,4,0.2,0.1333333333333333,0.3583333333333334,0.75,0.1333333333333333,0.0666666666666666,0.8666666666666667,1.0,0.2666666666666666,0.0666666666666666,0.9333333333333332,1.0,0.4734108859857455,0.1931754154762344,0.497229870391455,1.0,0.25,0.1666666666666666,0.45,0.75,0.0012042576236665,0.9994006642519796,0.4161459336870183,0.6829519270980355,0.8665624661971546
WT_14__TO__SCA3_04,12,0.3833333333333333,0.1083333333333333,0.55,0.75,0.3,0.1666666666666667,0.8,1.0,0.6333333333333333,0.0333333333333333,0.9333333333333332,1.0,0.306171328520825,0.1104237891002563,0.3856472237441662,1.0,0.2333333333333333,0.2,0.3416666666666668,0.5833333333333334,0.0013869730086457,0.9991733606019518,0.4911632075935909,0.6792810697600805,0.9532059009754626
WT_14__TO__SCA3_06,2,0.4,0.4,0.5,1.0,0.3,0.3,0.6166666666666667,1.0,0.8,0.8,0.9,1.0,0.1461697925719702,0.1461697925719702,0.2138234610702037,1.0,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.5,0.0011344907648733,0.9994223142459968,1.5049219915424344e-16,0.6377356054563533,0.7951889256870989
WT_14__TO__SCA3_09,6,0.3333333333333333,0.2333333333333333,0.7,0.6666666666666666,0.8,0.0666666666666666,0.8500000000000001,1.0,0.5000000000000001,0.1,0.8666666666666667,1.0,0.4956848210351837,0.0523322534248909,0.5551458335347779,1.0,0.1666666666666666,0.1333333333333333,0.3333333333333332,0.4999999999999999,0.0010240682391879,0.9993030988197272,2.1222902195043603e-16,0.6057930916504184,0.8429453379335815
WT_16__TO__SCA3_01,2,0.2,0.2,0.2,0.5,0.0,0.0,0.1333333333333333,1.0,0.0,0.0,0.1666666666666666,1.0,0.7052866029531233,0.7052866029531233,0.7630463534547627,1.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.5,0.0018397894871838,0.9986617706074784,0.6011908733425031,0.7598974899669864,0.8944354250686014
WT_16__TO__SCA3_04,6,0.3333333333333333,0.2083333333333333,0.3333333333333333,0.8333333333333333,0.1333333333333335,0.0166666666666666,0.4166666666666667,1.0,0.5666666666666669,0.2666666666666667,0.9333333333333332,1.0,0.0742106082265254,0.0207283495948984,0.357589260977999,1.0,0.3333333333333333,0.3,0.4499999999999999,0.4999999999999999,0.001487403627416,0.9992984923688224,0.6481950717203495,0.8661037291468696,0.9741219773199284
WT_16__TO__SCA3_06,1,0.8,0.8,0.8,1.0,0.2,0.2,0.2,1.0,1.0,1.0,1.0,1.0,0.6623445446892207,0.6623445446892207,0.6623445446892207,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.0,0.0014074026469256,0.9993759119566052,0.4859344111630038,0.7233203181726614,0.8652044255121847
WT_16__TO__SCA3_09,3,0.2,0.2,0.3833333333333334,1.0,0.0833333333333333,0.0666666666666666,0.325,1.0,0.5000000000000001,0.0666666666666666,0.95,1.0,0.2634478854864048,0.1347961052679008,0.4026713425893491,1.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.3333333333333333,0.0009234905642685,0.9993986251159308,0.3804258608478003,0.6348309182300086,0.8287758943628104
