path_family,path_progress,n_pairs,A_isi_median,A_isi_q25,A_isi_q75,rheobase_J_median,active_rate_median,mean_isi_median,occupancy_median
drive_early,0.375,32,0.2143872573671486,0.0329648562446332,0.3802189262053904,0.51025074241134,67.07557349630514,12.83246267469583,0.9812432365403756
drive_early,0.4,32,0.2458649264205459,0.0788627830480014,0.4052435752242367,0.5243842147470416,64.72398582167949,13.45941842834559,0.9850533908924336
drive_early,0.425,32,0.2779816403197715,0.1053351076982196,0.3981256501600801,0.5328902181024642,61.16170171997919,14.175890913152909,0.9811224979820145
drive_early,0.45,32,0.3152096900746037,0.1556605586148401,0.418818570715693,0.5426412669289171,58.90855853466812,14.731520293040742,0.9821151360901628
drive_early,0.475,32,0.3586914105441975,0.2056511518086478,0.4475934492019253,0.5610903988307983,56.93076755359995,15.15712517540525,0.9812942868617976
drive_early,0.5,32,0.3976413181084246,0.2451923954392363,0.474664277782374,0.6125420042295044,56.30037175204305,15.465402404687232,0.9798495461659404
drive_early,0.525,32,0.4288787925643486,0.2733962241418738,0.4774879047828287,0.6769884766725389,53.2429710834481,15.809735770391631,0.9773171700526316
drive_early,0.55,32,0.4558822374975326,0.2998293827940663,0.5294157341418608,0.7506387510767335,51.56984471553504,16.70148651477799,0.9767655103531196
drive_early,0.5750000000000001,32,0.4946420579127422,0.3631800503387281,0.5907987788551141,0.7826996747085766,49.86393870095163,17.13551706190983,0.9784990516194269
drive_early,0.6000000000000001,32,0.5375979129754237,0.4027431416660403,0.6196932061413233,0.8050646967400245,49.21328838135654,17.903422598090216,0.980193393586082
drive_early,0.625,32,0.5736881050570799,0.4312692348379077,0.6385130850916727,0.7679590990535319,47.41998701229593,18.337748878851503,0.9772699926320124
drive_early,0.65,32,0.5953761186659146,0.4728418859040809,0.6930417468882483,0.79887849305088,46.28873425146297,18.775799643956788,0.9798216361783536
drive_early,0.675,32,0.6212727023128708,0.5056028079673305,0.7172887723379571,0.8926377988525273,46.34107272369307,19.6415843557844,0.9737558335243052
drive_early,0.7000000000000001,32,0.6382994719133805,0.5442621330263215,0.7640679114505864,1.0015235500270654,45.10280641435276,20.33000851918413,0.9731933358360352
drive_early,0.7250000000000001,32,0.6661355012935593,0.5776954752200124,0.822340835215367,1.1025469100733676,43.95678753230972,20.933409815602584,0.9695968385644772
drive_early,0.75,32,0.6945178352046104,0.6284060353946741,0.8610325667672042,1.1928502780496353,42.60430512626317,21.528461935363666,0.9724582136143048
drive_early,0.775,32,0.7318950282023067,0.6514806308712255,0.9075678548811188,1.300427029814653,41.85327146928416,22.39288033798284,0.9721630090387986
drive_early,0.8,32,0.7633336023041146,0.6865767645948322,0.9556720729737356,1.3904684910454543,41.57806811473722,23.780386250988407,0.97599093542756
drive_early,0.8250000000000001,32,0.7929013185078208,0.7399359764663487,0.9944062327264472,1.452176399001616,40.22993726023708,24.074909629849323,0.977899343887469
drive_early,0.8500000000000001,32,0.8167144211113789,0.754979064834121,1.017466459213506,1.5419192316670915,38.79930049486768,24.311628351506265,0.9715810227756004
drive_early,0.875,32,0.8515273037132012,0.7667747246788765,1.037785207123524,1.6470163829758278,37.76813797500107,25.90433254162812,0.9729017631035882
drive_early,0.9,32,0.891739403686606,0.8425195951575615,1.065981860068251,1.749942267224608,36.875365439883005,26.02947415209956,0.9764220636498742
drive_early,0.925,32,0.9128748665735492,0.8397337174346889,1.0966553381573945,1.839920092078918,36.70464337375073,26.692037120369065,0.974052349334783
drive_early,0.95,32,0.928220414232209,0.8425372038256503,1.1294960932930325,1.917396097205469,37.12314785600303,27.10264492423136,0.97495703086676
drive_early,0.975,32,0.954734687350709,0.8594108795009234,1.1255495812139982,2.0168554573360833,37.41929063469029,26.437490816999507,0.9804838368628456
drive_early,1.0,32,0.9897062303536512,0.8630290687063996,1.097636092988836,2.10043457778333,40.333055978523824,24.9162270568682,0.9744655361255604
drive_late,0.0,32,0.0342834500379349,-0.0838806796353532,0.0592153909067684,0.3157275820058134,83.83551113555984,11.68213641199844,0.9913454832681764
drive_late,0.025,32,0.0443865670376384,-0.0863364473936278,0.0915202858470003,0.30980092403681325,81.1288974759841,11.626493554255823,0.9893048448431828
drive_late,0.05,32,0.0448124487864631,-0.0840677243207826,0.090319738959455,0.29781500171036446,77.72185845205036,11.631926486451569,0.9898115439609274
drive_late,0.075,32,0.0284571778386837,-0.0613813690354644,0.0967884014424235,0.2885235670010432,76.12198171779261,11.653345909034329,0.9893504189076396
drive_late,0.1,32,0.006963915941225,-0.0672482056129994,0.0916290825102291,0.27819349718786374,75.60719885332952,11.40597024549356,0.9872455997408892
