group,cell_id,animal_id,solution_key,source,b,r,s,kappa_I,rheobase_J,q75_firing_rate_hz,q75_mean_isi_ms,q50_firing_rate_hz,q50_mean_isi_ms,cell_weight_within_group,within_cell_support_weight,group_support_weight,z_log10_rheobase_J,z_log10_firing_rate_q75
WT,WT_03,NA_NOT_RECOVERABLE,r_LOW,r_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,1.8237926924463608,102.79121813919213,9.423395350929445,82.27287228456144,11.646138603786582,0.08333333333333333,0.25,0.020833333333333332,0.7284265707279826,1.3622894591437065
WT,WT_03,NA_NOT_RECOVERABLE,s_HIGH,s_HIGH,3.0980843953266954,0.0001196405471698,2.691017994543842,0.5219626851112664,1.7444170995564887,104.77217218128284,9.321934107260256,83.7641054744042,11.593115329661176,0.08333333333333333,0.25,0.020833333333333332,0.6818100291102164,1.4122646494018278
WT,WT_03,NA_NOT_RECOVERABLE,kappa_I_HIGH,kappa_I_HIGH,5.088517117356956,0.0848834596695923,3.279460619295069,1.205927195782613,1.73703332347371,98.32875750708172,10.092318455183824,78.3223153097064,12.793701998838332,0.08333333333333333,0.25,0.020833333333333332,0.6773662675141933,1.2460889315715244
WT,WT_04,NA_NOT_RECOVERABLE,best,best,3.07526787577599,0.0366751221750693,0.519708187871091,0.61900642338991,0.3807969954705221,63.51434927075274,15.301092657440917,47.84121971529232,20.347524114716496,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.9125653522005926,0.10184286096032087
WT,WT_04,NA_NOT_RECOVERABLE,b_HIGH,b_HIGH,5.100692288984847,0.0009171973103136,2.4319174421422822,1.443876921898457,0.3859930558375662,68.21004591631105,14.46086275571252,46.38050874251826,19.441695394158483,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.898367058244718,0.2885820675786237
WT,WT_04,NA_NOT_RECOVERABLE,r_LOW,r_LOW,4.624715502551803,0.0121402165240181,1.99140956469948,1.6238637867543957,0.4179117123779804,66.9745542873188,14.710296940836091,44.90546421672238,22.024299025192647,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.8151331731358793,0.24072541653864232
WT,WT_04,NA_NOT_RECOVERABLE,r_HIGH,r_HIGH,3.065695095084834,0.0878416356744239,0.4108667249190021,0.5747883301798449,0.3889622331901629,71.4226003034868,13.628859080047658,56.70582042308943,17.015245500779066,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.890339316085607,0.40907395068273933
WT,WT_04,NA_NOT_RECOVERABLE,s_HIGH,s_HIGH,4.9822056485118775,0.0015351811469617,2.0918407503909955,1.414480091955145,0.3934159992190579,67.22151453721929,14.60022141451688,47.35909390870824,20.17988915618938,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.8784118791756635,0.2503616070591804
WT,WT_04,NA_NOT_RECOVERABLE,kappa_I_LOW,kappa_I_LOW,3.074943737087533,0.0720546749153909,0.0823540568895111,0.1819782293652072,0.465418550019527,63.513658891262935,15.001003868243522,56.69148687006761,16.306338162813528,0.08333333333333333,0.16666666666666666,0.013888888888888888,-0.7023396763284352,0.10181440285267279
WT,WT_06,NA_NOT_RECOVERABLE,best,best,3.00268700778274,0.0397070714073017,0.320997650843926,0.43690513909511,0.6344904113823149,103.87975063958572,9.404592503205745,87.51959152728239,11.169553757922737,0.08333333333333333,0.2,0.016666666666666666,-0.37769936235609813,1.389868779943711
