biological_pair_key,dt_ms,view,marker_variant,aggregation_order,n_support_scenarios,kl_balance_p,kl_balance_p_q25,kl_balance_p_q75,firing_balance_p,kl_minus_firing_p
WT_14__TO__SCA3_09,0.05,z,q25_seed_isotonic,marker_first,6,0.44775648326839557,0.3154912638056855,0.5489877202777531,0.6057930916504184,-0.15803660838202283
WT_14__TO__SCA3_09,0.05,z,q75_seed_isotonic,marker_first,6,0.588440171265566,0.4829251301447145,0.8803002114062349,0.6057930916504184,-0.017352920384852366
WT_14__TO__SCA3_09,0.05,z,seed_median_curve_first,marker_first,6,0.5091023016605972,0.46227518321353117,0.557123328540559,0.6057930916504184,-0.09669078998982117
WT_14__TO__SCA3_09,0.05,z,seed_median_curve_isotonic,marker_first,6,0.5861116803386511,0.4684590714919486,0.7009814995701593,0.6057930916504184,-0.01968141131176726
WT_14__TO__SCA3_09,0.05,z,seed_median_curve_persistent,marker_first,6,0.5861116803386511,0.4684590714919486,0.7225498056869111,0.6057930916504184,-0.01968141131176726
WT_16__TO__SCA3_01,0.0125,xy,median_seed_isotonic,marker_first,2,0.8659155098730562,0.8151761447709623,0.91665487497515,0.7598974899669864,0.10601801990606985
WT_16__TO__SCA3_01,0.0125,xy,q25_seed_isotonic,marker_first,2,0.8220336387318161,0.7901060039514345,0.8539612735121977,0.7598974899669864,0.06213614876482976
WT_16__TO__SCA3_01,0.0125,xy,q75_seed_isotonic,marker_first,2,0.9116502798308044,0.8563534819839649,0.966947077677644,0.7598974899669864,0.15175278986381802
WT_16__TO__SCA3_01,0.0125,xy,seed_median_curve_first,marker_first,2,0.8682013799767481,0.819747884978346,0.91665487497515,0.7598974899669864,0.1083038900097617
WT_16__TO__SCA3_01,0.0125,xy,seed_median_curve_isotonic,marker_first,2,0.8682013799767481,0.819747884978346,0.91665487497515,0.7598974899669864,0.1083038900097617
WT_16__TO__SCA3_01,0.0125,xy,seed_median_curve_persistent,marker_first,2,0.8682013799767481,0.819747884978346,0.91665487497515,0.7598974899669864,0.1083038900097617
WT_16__TO__SCA3_01,0.0125,xyz,median_seed_isotonic,marker_first,2,0.7244648353356462,0.6468669435994787,0.8020627270718138,0.7598974899669864,-0.035432654631340155
WT_16__TO__SCA3_01,0.0125,xyz,q25_seed_isotonic,marker_first,2,0.6849055607762864,0.6416614918408289,0.7281496297117439,0.7598974899669864,-0.07499192919069997
