dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.0125,z,median_seed_isotonic,marker_first,32,-0.18978717857663982,-0.37177680078813735,0.0168158639630967,0.71875,12,-0.21276609269373165,-0.3003726134069099,-0.07588286802257813,0.8333333333333334,8,-0.16052455617367212,0.625,True
0.0125,z,q25_seed_isotonic,curve_first,32,-0.20167771999294726,-0.3552461433909027,0.01664891896268232,0.71875,12,-0.24807861645481552,-0.29585249610794195,-0.12267080441806716,0.8333333333333334,8,-0.18429721159472973,0.75,True
0.0125,z,q25_seed_isotonic,marker_first,32,-0.2753002816809133,-0.4062703993088612,-0.06956536402890649,0.8125,12,-0.28275801462018657,-0.3589023887935108,-0.1769351711999185,0.9166666666666666,8,-0.18437989628322773,1.0,True
0.0125,z,q75_seed_isotonic,curve_first,32,-0.1424376465355311,-0.2662693652365967,0.030669071524648872,0.6875,12,-0.14164542827139046,-0.2273929458427959,-0.07507533708491204,0.8333333333333334,8,-0.13681214446875398,0.625,True
0.0125,z,q75_seed_isotonic,marker_first,32,-0.09372841123434716,-0.25122637883960547,0.04541378111071355,0.71875,12,-0.10945496708374122,-0.2097521641667523,-0.05382327785079028,0.8333333333333334,8,-0.11057652217503759,0.625,True
0.0125,z,seed_median_curve_first,curve_first,32,-0.16115721586740017,-0.3337850121742583,0.027955431839331163,0.6875,12,-0.21360289843978936,-0.26966795137520094,-0.10212169763150081,0.8333333333333334,8,-0.1740010087466611,0.625,True
0.0125,z,seed_median_curve_first,marker_first,32,-0.24856162009743893,-0.3947146541827794,-0.05042871451286418,0.75,12,-0.2666129411744377,-0.34575110748863425,-0.15394217126846488,0.9166666666666666,8,-0.16884230053952418,1.0,True
0.0125,z,seed_median_curve_isotonic,curve_first,32,-0.16154650170238505,-0.3225302344820857,0.027955431839331163,0.6875,12,-0.2137975413572818,-0.258437325942786,-0.10241366200773946,0.8333333333333334,8,-0.1740010087466611,0.625,True
0.0125,z,seed_median_curve_isotonic,marker_first,32,-0.1592791370030419,-0.33471494005777624,0.016044610141185217,0.71875,12,-0.2080376883212393,-0.2827854160492712,-0.07576112808552266,0.8333333333333334,8,-0.1635193734756416,0.625,True
0.0125,z,seed_median_curve_persistent,curve_first,32,-0.16115721586740017,-0.3127002214187727,0.027955431839331163,0.6875,12,-0.21243797943102516,-0.25359412639196216,-0.10212169763150081,0.8333333333333334,8,-0.1740010087466611,0.625,True
