dt_ms,view,marker_variant,aggregation_order,endpoint_genotype,endpoint_cell,n_partner_pairs,kl_minus_firing_p
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_09,4,-0.20185919505121466
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_10,4,-0.010627943946779406
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_13,4,-0.18207263629346504
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_14,4,-0.23887040365523426
0.0125,xyz,median_seed_isotonic,curve_first,WT,WT_16,4,-0.3804097799213734
0.0125,xyz,median_seed_isotonic,marker_first,SCA3,SCA3_01,8,-0.09495290530558259
0.0125,xyz,median_seed_isotonic,marker_first,SCA3,SCA3_04,8,-0.2725176129177741
0.0125,xyz,median_seed_isotonic,marker_first,SCA3,SCA3_06,8,-0.10113630732906909
0.0125,xyz,median_seed_isotonic,marker_first,SCA3,SCA3_09,8,-0.06407529085066718
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_03,4,0.0341308354790654
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_04,4,-0.13818480613106549
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_08,4,-0.39102374782061283
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_09,4,-0.15556903084337478
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_10,4,-0.03787423467753731
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_13,4,-0.2350156768137262
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_14,4,-0.2048089584573136
0.0125,xyz,median_seed_isotonic,marker_first,WT,WT_16,4,-0.3834284631482068
0.0125,xyz,q25_seed_isotonic,curve_first,SCA3,SCA3_01,8,-0.13082451341772733
0.0125,xyz,q25_seed_isotonic,curve_first,SCA3,SCA3_04,8,-0.3057139653529377
0.0125,xyz,q25_seed_isotonic,curve_first,SCA3,SCA3_06,8,-0.2773358033914429
0.0125,xyz,q25_seed_isotonic,curve_first,SCA3,SCA3_09,8,-0.17921456354652132
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_03,4,0.00967114111538317
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_04,4,-0.16359725971439862
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_08,4,-0.35306082857842414
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_09,4,-0.20419646442718337
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_10,4,-0.011633731851735302
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_13,4,-0.33926986595954084
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_14,4,-0.2552494825917739
0.0125,xyz,q25_seed_isotonic,curve_first,WT,WT_16,4,-0.4247822429124673
0.0125,xyz,q25_seed_isotonic,marker_first,SCA3,SCA3_01,8,-0.1502248029410492
0.0125,xyz,q25_seed_isotonic,marker_first,SCA3,SCA3_04,8,-0.3069644998735281
0.0125,xyz,q25_seed_isotonic,marker_first,SCA3,SCA3_06,8,-0.2923050439517769
0.0125,xyz,q25_seed_isotonic,marker_first,SCA3,SCA3_09,8,-0.1614818022960495
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_03,4,-0.17668395667933337
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_04,4,-0.20851707072142375
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_08,4,-0.40375657208397714
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_09,4,-0.16114529308609016
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_10,4,-0.08090752042533628
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_13,4,-0.3858966607085488
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_14,4,-0.352684985483818
0.0125,xyz,q25_seed_isotonic,marker_first,WT,WT_16,4,-0.4311483638421323
0.0125,xyz,q75_seed_isotonic,curve_first,SCA3,SCA3_01,8,-0.10691303620913922
0.0125,xyz,q75_seed_isotonic,curve_first,SCA3,SCA3_04,8,-0.29735177873769714
0.0125,xyz,q75_seed_isotonic,curve_first,SCA3,SCA3_06,8,-0.0008900131849127746
0.0125,xyz,q75_seed_isotonic,curve_first,SCA3,SCA3_09,8,-0.0902410923369884
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_03,4,0.022312895205220618
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_04,4,-0.15012644406012743
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_08,4,-0.3407336648590722
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_09,4,-0.20016631954166306
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_10,4,0.052073602006137254
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_13,4,-0.06615745476570364
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_14,4,-0.20409849540517327
0.0125,xyz,q75_seed_isotonic,curve_first,WT,WT_16,4,-0.29395103608523876
0.0125,xyz,q75_seed_isotonic,marker_first,SCA3,SCA3_01,8,-0.06386258299596431
0.0125,xyz,q75_seed_isotonic,marker_first,SCA3,SCA3_04,8,-0.26299522182156054
0.0125,xyz,q75_seed_isotonic,marker_first,SCA3,SCA3_06,8,-0.048113202303236347
0.0125,xyz,q75_seed_isotonic,marker_first,SCA3,SCA3_09,8,0.0042550214576828616
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_03,4,0.08967979311450411
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_04,4,-0.0922600777277609
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_08,4,-0.38428574779117197
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_09,4,-0.12349825192420186
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_10,4,0.026776251337463364
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_13,4,-0.1079997997692734
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_14,4,-0.16936058520382488
0.0125,xyz,q75_seed_isotonic,marker_first,WT,WT_16,4,-0.2013331560455404
0.0125,xyz,seed_median_curve_first,curve_first,SCA3,SCA3_01,8,-0.1124832718920512
0.0125,xyz,seed_median_curve_first,curve_first,SCA3,SCA3_04,8,-0.3023768078665834
0.0125,xyz,seed_median_curve_first,curve_first,SCA3,SCA3_06,8,-0.16715032655901335
0.0125,xyz,seed_median_curve_first,curve_first,SCA3,SCA3_09,8,-0.15552774967372207
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_03,4,0.019759245304745654
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_04,4,-0.15095681732308855
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_08,4,-0.34952078986347834
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_09,4,-0.2017641213638912
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_10,4,-0.010609455674503332
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_13,4,-0.29056254225846123
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_14,4,-0.2391376210347336
0.0125,xyz,seed_median_curve_first,curve_first,WT,WT_16,4,-0.28049624336565104
0.0125,xyz,seed_median_curve_first,marker_first,SCA3,SCA3_01,8,-0.11013631932209234
0.0125,xyz,seed_median_curve_first,marker_first,SCA3,SCA3_04,8,-0.2964953347698339
0.0125,xyz,seed_median_curve_first,marker_first,SCA3,SCA3_06,8,-0.19400246834724788
0.0125,xyz,seed_median_curve_first,marker_first,SCA3,SCA3_09,8,-0.09688791112528608
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_03,4,-0.0032941539144969167
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_04,4,-0.1411907645203701
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_08,4,-0.39144630639270966
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_09,4,-0.15553062788116725
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_10,4,-0.038128247291240314
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_13,4,-0.3447899306792992
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_14,4,-0.34465894011090703
0.0125,xyz,seed_median_curve_first,marker_first,WT,WT_16,4,-0.31537840996294897
0.0125,xyz,seed_median_curve_isotonic,curve_first,SCA3,SCA3_01,8,-0.1124832718920512
0.0125,xyz,seed_median_curve_isotonic,curve_first,SCA3,SCA3_04,8,-0.3023768078665834
0.0125,xyz,seed_median_curve_isotonic,curve_first,SCA3,SCA3_06,8,-0.125725985428632
0.0125,xyz,seed_median_curve_isotonic,curve_first,SCA3,SCA3_09,8,-0.15552774967372207
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_03,4,0.019759245304745654
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_04,4,-0.15095681732308855
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_08,4,-0.34952078986347834
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_09,4,-0.2017641213638912
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_10,4,-0.010609455674503332
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_13,4,-0.25075928428675764
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_14,4,-0.2391376210347336
0.0125,xyz,seed_median_curve_isotonic,curve_first,WT,WT_16,4,-0.2799661136566508
0.0125,xyz,seed_median_curve_isotonic,marker_first,SCA3,SCA3_01,8,-0.09501717840297813
0.0125,xyz,seed_median_curve_isotonic,marker_first,SCA3,SCA3_04,8,-0.2733202275182877
0.0125,xyz,seed_median_curve_isotonic,marker_first,SCA3,SCA3_06,8,-0.16970656388332445
0.0125,xyz,seed_median_curve_isotonic,marker_first,SCA3,SCA3_09,8,-0.042708708915791926
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_03,4,0.03538514369575413
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_04,4,-0.13825728317614633
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_08,4,-0.39185773364269527
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_09,4,-0.14197801786222097
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_10,4,-0.039106285888727
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_13,4,-0.3049866727075955
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_14,4,-0.19335453883486572
0.0125,xyz,seed_median_curve_isotonic,marker_first,WT,WT_16,4,-0.17279291994703685
0.0125,xyz,seed_median_curve_persistent,curve_first,SCA3,SCA3_01,8,-0.1124832718920512
0.0125,xyz,seed_median_curve_persistent,curve_first,SCA3,SCA3_04,8,-0.3023768078665834
0.0125,xyz,seed_median_curve_persistent,curve_first,SCA3,SCA3_06,8,-0.09294700543579659
0.0125,xyz,seed_median_curve_persistent,curve_first,SCA3,SCA3_09,8,-0.15552774967372207
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_03,4,0.019759245304745654
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_04,4,-0.15095681732308855
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_08,4,-0.3471823340747385
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_09,4,-0.2017641213638912
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_10,4,-0.010609455674503332
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_13,4,-0.24460894472874511
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_14,4,-0.2391376210347336
0.0125,xyz,seed_median_curve_persistent,curve_first,WT,WT_16,4,-0.23024310801693035
0.0125,xyz,seed_median_curve_persistent,marker_first,SCA3,SCA3_01,8,-0.09402379716987902
0.0125,xyz,seed_median_curve_persistent,marker_first,SCA3,SCA3_04,8,-0.2733202275182877
0.0125,xyz,seed_median_curve_persistent,marker_first,SCA3,SCA3_06,8,-0.12315967845228126
0.0125,xyz,seed_median_curve_persistent,marker_first,SCA3,SCA3_09,8,-0.0485448074171172
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_03,4,-0.0032941539144969167
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_04,4,-0.12060110997412415
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_08,4,-0.3898620836872508
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_09,4,-0.15553062788116725
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_10,4,-0.038128247291240314
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_13,4,-0.298836333149583
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_14,4,-0.1680855525284793
0.0125,xyz,seed_median_curve_persistent,marker_first,WT,WT_16,4,-0.1230699143073164
0.0125,z,median_seed_isotonic,curve_first,SCA3,SCA3_01,8,-0.11821698493147337
0.0125,z,median_seed_isotonic,curve_first,SCA3,SCA3_04,8,-0.2830141685594898
0.0125,z,median_seed_isotonic,curve_first,SCA3,SCA3_06,8,-0.25321122347858377
0.0125,z,median_seed_isotonic,curve_first,SCA3,SCA3_09,8,-0.05623758275425475
0.0125,z,median_seed_isotonic,curve_first,WT,WT_03,4,0.07789790355242804
0.0125,z,median_seed_isotonic,curve_first,WT,WT_04,4,-0.17716853244235548
0.0125,z,median_seed_isotonic,curve_first,WT,WT_08,4,-0.35176890270548933
0.0125,z,median_seed_isotonic,curve_first,WT,WT_09,4,-0.2176223785547075
0.0125,z,median_seed_isotonic,curve_first,WT,WT_10,4,0.10848923148263588
0.0125,z,median_seed_isotonic,curve_first,WT,WT_13,4,-0.2724320366182975
0.0125,z,median_seed_isotonic,curve_first,WT,WT_14,4,-0.2112422480208288
0.0125,z,median_seed_isotonic,curve_first,WT,WT_16,4,-0.4379603093082802
0.0125,z,median_seed_isotonic,marker_first,SCA3,SCA3_01,8,-0.09614439447322248
