dt_ms,view,marker_variant,aggregation_order,omitted_animal_id,n_animal_pairs,median_kl_minus_firing_p
0.0125,z,seed_median_curve_isotonic,marker_first,SCA3_DD24,4,-0.1635193734756416
0.0125,z,seed_median_curve_isotonic,marker_first,WT_150130,6,-0.21865864505043633
0.0125,z,seed_median_curve_isotonic,marker_first,WT_150305,6,-0.07906059653541306
0.0125,z,seed_median_curve_isotonic,marker_first,WT_DD09,6,-0.21723102092675325
0.0125,z,seed_median_curve_isotonic,marker_first,WT_DD10,6,-0.07763297241172998
0.0125,z,seed_median_curve_persistent,curve_first,SCA3_DD20,4,-0.10061963355015002
0.0125,z,seed_median_curve_persistent,curve_first,SCA3_DD24,4,-0.1740010087466611
0.0125,z,seed_median_curve_persistent,curve_first,WT_150130,6,-0.19312717705954763
0.0125,z,seed_median_curve_persistent,curve_first,WT_150305,6,-0.0814934652372635
0.0125,z,seed_median_curve_persistent,curve_first,WT_DD09,6,-0.19312717705954763
0.0125,z,seed_median_curve_persistent,curve_first,WT_DD10,6,-0.0814934652372635
0.0125,z,seed_median_curve_persistent,marker_first,SCA3_DD20,4,-0.11787717715802903
0.0125,z,seed_median_curve_persistent,marker_first,SCA3_DD24,4,-0.16884230053952418
0.0125,z,seed_median_curve_persistent,marker_first,WT_150130,6,-0.21818715716697396
0.0125,z,seed_median_curve_persistent,marker_first,WT_150305,6,-0.08438352359929563
0.0125,z,seed_median_curve_persistent,marker_first,WT_DD09,6,-0.2114366059794083
0.0125,z,seed_median_curve_persistent,marker_first,WT_DD10,6,-0.07763297241172998
0.025,xy,median_seed_isotonic,curve_first,SCA3_DD20,4,-0.22106111878865126
0.025,xy,median_seed_isotonic,curve_first,SCA3_DD24,4,-0.17817423063061089
0.025,xy,median_seed_isotonic,curve_first,WT_150130,6,-0.2196360246023523
0.025,xy,median_seed_isotonic,curve_first,WT_150305,6,-0.15517342962647707
0.025,xy,median_seed_isotonic,curve_first,WT_DD09,6,-0.2196360246023523
0.025,xy,median_seed_isotonic,curve_first,WT_DD10,6,-0.15517342962647707
0.025,xy,median_seed_isotonic,marker_first,SCA3_DD20,4,-0.13510880637684733
0.025,xy,median_seed_isotonic,marker_first,SCA3_DD24,4,-0.051409791697980683
0.025,xy,median_seed_isotonic,marker_first,WT_150130,6,-0.08086645685344254
0.025,xy,median_seed_isotonic,marker_first,WT_150305,6,-0.06524666358469056
0.025,xy,median_seed_isotonic,marker_first,WT_DD09,6,-0.06524666358469056
0.025,xy,median_seed_isotonic,marker_first,WT_DD10,6,-0.06285294954381761
0.025,xy,q25_seed_isotonic,curve_first,SCA3_DD20,4,-0.2738777026330065
0.025,xy,q25_seed_isotonic,curve_first,SCA3_DD24,4,-0.19206519417399698
0.025,xy,q25_seed_isotonic,curve_first,WT_150130,6,-0.23741971860693029
0.025,xy,q25_seed_isotonic,curve_first,WT_150305,6,-0.18525138791719398
0.025,xy,q25_seed_isotonic,curve_first,WT_DD09,6,-0.23741971860693029
0.025,xy,q25_seed_isotonic,curve_first,WT_DD10,6,-0.18525138791719398
0.025,xy,q25_seed_isotonic,marker_first,SCA3_DD20,4,-0.17704373993799224
0.025,xy,q25_seed_isotonic,marker_first,SCA3_DD24,4,-0.08333391846578153
0.025,xy,q25_seed_isotonic,marker_first,WT_150130,6,-0.16967971888127995
0.025,xy,q25_seed_isotonic,marker_first,WT_150305,6,-0.11716077322004181
0.025,xy,q25_seed_isotonic,marker_first,WT_DD09,6,-0.14417416862744956
0.025,xy,q25_seed_isotonic,marker_first,WT_DD10,6,-0.08333391846578153
0.025,xy,q75_seed_isotonic,curve_first,SCA3_DD20,4,-0.14345279372234487
0.025,xy,q75_seed_isotonic,curve_first,SCA3_DD24,4,-0.15885244789150849
0.025,xy,q75_seed_isotonic,curve_first,WT_150130,6,-0.18848650189478183
0.025,xy,q75_seed_isotonic,curve_first,WT_150305,6,-0.1308655567334207
0.025,xy,q75_seed_isotonic,curve_first,WT_DD09,6,-0.18848650189478183
0.025,xy,q75_seed_isotonic,curve_first,WT_DD10,6,-0.1308655567334207
0.025,xy,q75_seed_isotonic,marker_first,SCA3_DD20,4,-0.07459730671440905
0.025,xy,q75_seed_isotonic,marker_first,SCA3_DD24,4,-0.014630093494237953
0.025,xy,q75_seed_isotonic,marker_first,WT_150130,6,-0.026817139519998395
0.025,xy,q75_seed_isotonic,marker_first,WT_150305,6,-0.00796573511526226
0.025,xy,q75_seed_isotonic,marker_first,WT_DD09,6,-0.026817139519998395
0.025,xy,q75_seed_isotonic,marker_first,WT_DD10,6,-0.00796573511526226
0.025,xy,seed_median_curve_first,curve_first,SCA3_DD20,4,-0.2530447127436196
0.025,xy,seed_median_curve_first,curve_first,SCA3_DD24,4,-0.17580095339814333
0.025,xy,seed_median_curve_first,curve_first,WT_150130,6,-0.21957624470756548
0.025,xy,seed_median_curve_first,curve_first,WT_150305,6,-0.1752678287240756
0.025,xy,seed_median_curve_first,curve_first,WT_DD09,6,-0.21957624470756548
0.025,xy,seed_median_curve_first,curve_first,WT_DD10,6,-0.1752678287240756
0.025,xy,seed_median_curve_first,marker_first,SCA3_DD20,4,-0.17440771059339089
0.025,xy,seed_median_curve_first,marker_first,SCA3_DD24,4,-0.06081784947920696
0.025,xy,seed_median_curve_first,marker_first,WT_150130,6,-0.15977265915748334
0.025,xy,seed_median_curve_first,marker_first,WT_150305,6,-0.12092092438569406
0.025,xy,seed_median_curve_first,marker_first,WT_DD09,6,-0.12092092438569406
0.025,xy,seed_median_curve_first,marker_first,WT_DD10,6,-0.0792813746311277
0.025,xy,seed_median_curve_isotonic,curve_first,SCA3_DD20,4,-0.15397060773552784
0.025,xy,seed_median_curve_isotonic,curve_first,SCA3_DD24,4,-0.17580095339814333
0.025,xy,seed_median_curve_isotonic,curve_first,WT_150130,6,-0.19134977310973011
0.025,xy,seed_median_curve_isotonic,curve_first,WT_150305,6,-0.1481348598085857
0.025,xy,seed_median_curve_isotonic,curve_first,WT_DD09,6,-0.19134977310973011
0.025,xy,seed_median_curve_isotonic,curve_first,WT_DD10,6,-0.1481348598085857
0.025,xy,seed_median_curve_isotonic,marker_first,SCA3_DD20,4,-0.11372440430446948
0.025,xy,seed_median_curve_isotonic,marker_first,SCA3_DD24,4,-0.046322442975332834
0.025,xy,seed_median_curve_isotonic,marker_first,WT_150130,6,-0.07449336286423709
0.025,xy,seed_median_curve_isotonic,marker_first,WT_150305,6,-0.057589849858939335
0.025,xy,seed_median_curve_isotonic,marker_first,WT_DD09,6,-0.083079667565412
0.025,xy,seed_median_curve_isotonic,marker_first,WT_DD10,6,-0.04900354515776442
0.025,xy,seed_median_curve_persistent,curve_first,SCA3_DD20,4,-0.12531547456821432
0.025,xy,seed_median_curve_persistent,curve_first,SCA3_DD24,4,-0.17580095339814333
0.025,xy,seed_median_curve_persistent,curve_first,WT_150130,6,-0.17580095339814333
0.025,xy,seed_median_curve_persistent,curve_first,WT_150305,6,-0.14791963781487694
0.025,xy,seed_median_curve_persistent,curve_first,WT_DD09,6,-0.17558573140443454
0.025,xy,seed_median_curve_persistent,curve_first,WT_DD10,6,-0.1481348598085857
0.025,xy,seed_median_curve_persistent,marker_first,SCA3_DD20,4,-0.11671374295364273
0.025,xy,seed_median_curve_persistent,marker_first,SCA3_DD24,4,-0.03683121086924891
0.025,xy,seed_median_curve_persistent,marker_first,WT_150130,6,-0.08344600887197767
0.025,xy,seed_median_curve_persistent,marker_first,WT_150305,6,-0.06385354066246444
0.025,xy,seed_median_curve_persistent,marker_first,WT_DD09,6,-0.06385354066246444
0.025,xy,seed_median_curve_persistent,marker_first,WT_DD10,6,-0.050063200351380815
0.025,xyz,median_seed_isotonic,curve_first,SCA3_DD20,4,-0.09753986860891273
0.025,xyz,median_seed_isotonic,curve_first,SCA3_DD24,4,-0.15943485827365142
0.025,xyz,median_seed_isotonic,curve_first,WT_150130,6,-0.1768494918417068
0.025,xyz,median_seed_isotonic,curve_first,WT_150305,6,-0.09076786383396154
