dt_ms,view,marker_variant,aggregation_order,animal_pair_key,wt_animal_id,sca3_animal_id,n_cell_pairs,kl_minus_firing_p
0.0125,xyz,median_seed_isotonic,curve_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.16602272735314377
0.0125,xyz,median_seed_isotonic,curve_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.009266965457495058
0.0125,xyz,median_seed_isotonic,curve_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.2874445313274428
0.0125,xyz,median_seed_isotonic,curve_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.2526345631679662
0.0125,xyz,median_seed_isotonic,marker_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.04853772138125512
0.0125,xyz,median_seed_isotonic,marker_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,0.0341308354790654
0.0125,xyz,median_seed_isotonic,marker_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.10584104936808675
0.0125,xyz,median_seed_isotonic,marker_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.19627156342579802
0.0125,xyz,median_seed_isotonic,marker_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.1720919146632676
0.0125,xyz,median_seed_isotonic,marker_first,WT_DD09__TO__SCA3_DD24,WT_DD09,SCA3_DD24,6,-0.022399340968797532
0.0125,xyz,median_seed_isotonic,marker_first,WT_DD10__TO__SCA3_DD20,WT_DD10,SCA3_DD20,6,-0.3366341969461622
0.0125,xyz,median_seed_isotonic,marker_first,WT_DD10__TO__SCA3_DD24,WT_DD10,SCA3_DD24,6,-0.23840822991908922
0.0125,xyz,q25_seed_isotonic,curve_first,WT_150130__TO__SCA3_DD20,WT_150130,SCA3_DD20,2,-0.012786719106794076
0.0125,xyz,q25_seed_isotonic,curve_first,WT_150130__TO__SCA3_DD24,WT_150130,SCA3_DD24,2,0.017971330584574785
0.0125,xyz,q25_seed_isotonic,curve_first,WT_150305__TO__SCA3_DD20,WT_150305,SCA3_DD20,2,-0.16359725971439862
0.0125,xyz,q25_seed_isotonic,curve_first,WT_150305__TO__SCA3_DD24,WT_150305,SCA3_DD24,2,-0.1989128361951122
0.0125,xyz,q25_seed_isotonic,curve_first,WT_DD09__TO__SCA3_DD20,WT_DD09,SCA3_DD20,6,-0.1695504673973371
