subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_crossing,support_fraction,median,q25,q75
all_pairs,drive,p_intrinsic,0.1666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,24,0.3333333333333333,0.662408406204118,0.0,0.7590211857877469
all_pairs,drive,p_intrinsic,0.1666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,49,0.6805555555555556,0.13329599688411972,0.0,0.4905159363996048
all_pairs,drive,p_intrinsic,0.1666666666666666,active,balance,0.5,p_drive,72,29,0.4027777777777778,0.5771178175355858,0.0,0.7149236648181264
all_pairs,drive,p_intrinsic,0.1666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,17,0.2361111111111111,0.7892517643438848,0.713331861394881,0.8299011778026228
all_pairs,drive,p_intrinsic,0.1666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,46,0.6388888888888888,0.14230814474767317,0.0,0.4176111678358495
all_pairs,drive,p_intrinsic,0.1666666666666666,isi,balance,0.5,p_drive,72,27,0.375,0.6289645167080317,0.4053137594579345,0.8146507444679876
all_pairs,drive,p_intrinsic,0.2,active,SCA3_entry,0.6832817402871161,p_drive,72,26,0.3611111111111111,0.648920889289964,0.0,0.7794065716723908
all_pairs,drive,p_intrinsic,0.2,active,WT_exit,0.1483293470542087,p_drive,72,50,0.6944444444444444,0.07301906757429469,0.0,0.47660825964952686
all_pairs,drive,p_intrinsic,0.2,active,balance,0.5,p_drive,72,30,0.4166666666666667,0.6013895701767418,0.0,0.7407313607805033
all_pairs,drive,p_intrinsic,0.2,isi,SCA3_entry,0.7978563373093712,p_drive,72,17,0.2361111111111111,0.7783158339600142,0.7287634149169172,0.8353115986492728
all_pairs,drive,p_intrinsic,0.2,isi,WT_exit,0.1358293233470019,p_drive,72,48,0.6666666666666666,0.2515430523193471,0.0,0.4072121385626427
all_pairs,drive,p_intrinsic,0.2,isi,balance,0.5,p_drive,72,27,0.375,0.6337667655106366,0.40843159108202237,0.7927713131150209
