subset,intrinsic_index,drive_index,p_intrinsic,p_drive,n_biological_pairs,A_isi_median,A_isi_q25,A_isi_q75,A_isi_n,orth_isi_median,orth_isi_q25,orth_isi_q75,orth_isi_n,A_active_median,A_active_q25,A_active_q75,A_active_n,orth_active_median,orth_active_q25,orth_active_q75,orth_active_n,rheobase_J_median,rheobase_J_q25,rheobase_J_q75,rheobase_J_n,active_support_rate_hz_median,active_support_rate_hz_q25,active_support_rate_hz_q75,active_support_rate_hz_n,mean_isi_ms_median,mean_isi_ms_q25,mean_isi_ms_q75,mean_isi_ms_n,occupancy_fraction_median,occupancy_fraction_q25,occupancy_fraction_q75,occupancy_fraction_n,J_over_rheobase_median,J_over_rheobase_q25,J_over_rheobase_q75,J_over_rheobase_n,p_WT_like_isi_mean,p_WT_like_active_mean,p_TRANSITION_isi_mean,p_TRANSITION_active_mean,p_SCA3_like_isi_mean,p_SCA3_like_active_mean,valid_isi_weight_mean,valid_active_weight_mean,isi_corridor_weight_mean,active_corridor_weight_mean
all_pairs,0,10,0.0,0.3333333333333333,72,-0.08739981169625347,-0.2761607382152437,0.09937036641738049,72,1.1292723447988573,0.7593810898938629,1.5282121623766969,72,-0.16593244010849284,-0.3992874399963318,-0.011522409408156083,72,1.5421899460892756,1.090032591867593,2.0617095179876213,72,1.0196134045441085,0.7453969877981989,1.4210930509808783,72,106.20736518334812,94.95496503289156,123.27030914351248,72,9.012450891764765,7.343312851078913,10.211741950941626,72,0.9930583586843683,0.9850639675540462,0.99534297330253,72,2.735001024839576,2.237406864002117,3.5503322483781656,72,0.7038470017636684,0.7574129188712522,0.26490299823633157,0.13775903880070547,0.013668430335097003,0.09642305996472664,0.982418430335097,0.9915950176366842,0.46537698412698414,0.3527557319223986
all_pairs,0,11,0.0,0.3666666666666666,72,-0.08443208319576022,-0.2801395666470514,0.12290399470692338,72,1.1611808749257966,0.8012520742739884,1.5951883782907932,72,-0.18880617450470916,-0.4072512261409092,0.0018464825753996446,72,1.5670762449022768,1.142761113852237,2.1178181384752257,72,1.0827241226932125,0.7627256785767912,1.5219220380119347,72,106.85726512259083,93.12037058596741,125.47734501341026,72,9.012836136524044,7.239410650451825,10.29252335543526,72,0.9934201660713609,0.9865025241523482,0.995205319922317,72,2.760934067284646,2.181366067558484,3.5538941469854586,72,0.6554012345679011,0.7407572751322751,0.3055776014109347,0.15094797178130512,0.01840828924162257,0.09862213403880071,0.9793871252204585,0.9903273809523808,0.41935074955908286,0.33136022927689596
all_pairs,0,12,0.0,0.4,72,-0.0738189329210312,-0.2820175274280206,0.13807957224888295,72,1.1910164548942055,0.8433475330552178,1.6573870051309028,72,-0.17278727369462965,-0.4097232996491824,0.035771386024280705,72,1.6339832602020552,1.1681840637348435,2.1146722614246882,72,1.1222108948060623,0.7787557840284952,1.6416717867680952,72,107.37411983322008,91.9715709988542,126.77045113796738,72,8.990123517681404,7.202834584270477,10.453245017883114,72,0.9939631441994824,0.987282821027208,0.9956259417535283,72,2.738680368771014,2.1414937765353073,3.562459434482409,72,0.6311673280423281,0.7228560405643738,0.3254188712522046,0.15982694003527337,0.02048611111111111,0.10425485008818342,0.9770723104056438,0.9869378306878307,0.39838514109347445,0.32150022045855375
all_pairs,0,13,0.0,0.4333333333333333,72,-0.06478684976292956,-0.2860581925989319,0.1536022617541299,72,1.2235108398863113,0.8448706309869932,1.6972345914447446,72,-0.1519544927321524,-0.41371669400591504,0.07227211796573042,72,1.7414321333359286,1.1789136118709889,2.200831107135251,72,1.1702957625093577,0.797158431176,1.7672462139308538,72,106.68065172851864,88.17022664869883,127.37651497230063,72,8.912646610837077,6.623957901230919,10.678021939451293,72,0.9930133142312525,0.9810870658079389,0.9952147057140546,72,2.683674077017484,2.0846431116487856,3.5697459782536183,72,0.6068617724867724,0.6872134038800706,0.34219576719576716,0.18688271604938272,0.022326940035273368,0.10746803350970019,0.971384479717813,0.9815641534391535,0.3980213844797178,0.3098489858906526
all_pairs,0,14,0.0,0.4666666666666667,72,-0.06080461444512962,-0.2829469701803883,0.19511509545176248,72,1.239063467661642,0.8720950854560653,1.7308011898509799,72,-0.15199463561546983,-0.4112070062284848,0.10397306087061664,72,1.758658138762552,1.2247646395459357,2.237921361478204,72,1.2150022384628896,0.8127003710648676,1.847104347541911,72,106.26002098849924,85.77229241079716,127.53448427790482,72,8.778648172154206,6.620701665856134,10.958564941396327,72,0.9931707155242164,0.9856542660063324,0.995250977761553,72,2.684247641898189,2.0548082232157108,3.5700840502042235,72,0.5885471781305115,0.6454750881834215,0.34443893298059963,0.22729828042328043,0.03396164021164021,0.10231481481481482,0.9669477513227515,0.9750881834215169,0.38920304232804237,0.3008542768959436
all_pairs,0,15,0.0,0.5,72,-0.07785477849729745,-0.3129944633003337,0.19712978943073986,72,1.2790963856374304,0.9202427584270217,1.7574307385172148,72,-0.1723093986707151,-0.44527244565510044,0.1364021819994236,72,1.7785623636867345,1.1996319260976154,2.2976986626039198,72,1.238739380265791,0.8310048712424118,1.9854833621238708,72,105.74348170584324,83.4762031851439,127.238907464756,72,8.62610435476245,6.364849464578283,10.884042260934589,72,0.9936899808153137,0.9873993185828759,0.9955453232341603,72,2.708309389366203,2.0117831670627333,3.5719330701678826,72,0.5679177689594356,0.6312500000000001,0.36610449735449735,0.22525352733686066,0.025022045855379187,0.11281415343915342,0.9590443121693123,0.9693176807760141,0.3854221781305115,0.28704254850088184
all_pairs,0,16,0.0,0.5333333333333333,72,-0.0735940619427973,-0.2975453572567211,0.19578013624278945,72,1.3169328661023127,0.8906355003184294,1.7854365776560082,72,-0.17534798171355623,-0.4701221250988276,0.14091923873543044,72,1.7484064217607767,1.1768387308984383,2.334037847940651,72,1.2757449992392846,0.8501694577410633,2.0774829368473733,72,103.97175016558953,79.87238413202859,127.59353436955337,72,8.573394698697617,6.3567742776984755,11.243005636147684,72,0.9930002006864254,0.9829982111802262,0.9949895469383849,72,2.719731128268536,1.970815663490435,3.5666136564795132,72,0.5617283950617283,0.6127810846560846,0.3606922398589065,0.22880842151675485,0.033994708994708994,0.12500551146384478,0.9564153439153438,0.9665950176366844,0.36375110229276897,0.2795138888888889
all_pairs,0,17,0.0,0.5666666666666667,72,-0.0669063426369321,-0.2965193862788962,0.21048864520632193,72,1.342882027115472,0.8280036369184858,1.8607063056626958,72,-0.1770553845255091,-0.4867690831976132,0.14731856133360618,72,1.760571531063789,1.2070266434462598,2.443977852304478,72,1.3365242694413775,0.8680287110516726,2.2415540408824066,72,102.69798206395154,75.31880536731897,129.4315090550561,72,8.503264435893355,6.322382224418705,11.328793526378245,72,0.9934827631334577,0.985576453408882,0.9949758629172228,72,2.723581347323827,1.9401334125287226,3.5607446012070176,72,0.5387125220458553,0.5979717813051146,0.36493606701940035,0.22556768077601413,0.04782297178130511,0.13662367724867724,0.9514715608465608,0.960163139329806,0.35477843915343915,0.27486772486772487
all_pairs,0,18,0.0,0.6,72,-0.056998564214846024,-0.31970423043194995,0.21684494010201327,72,1.358403877436884,0.8422511170086919,1.9082296900153188,72,-0.17272998984362933,-0.480794414225695,0.16866726520652128,72,1.805108663288381,1.3019742744233311,2.3959461963756192,72,1.3939401992796974,0.8857636468144006,2.3105193209050237,72,101.51577019225287,72.07193445109208,129.94086448168105,72,8.481742148619047,6.377255705053033,12.056043610611162,72,0.9924429868758008,0.9832625186991492,0.9950227917642227,72,2.7175965766289405,1.908710129023042,3.5097583784663815,72,0.5173776455026454,0.5887786596119929,0.35970568783068785,0.20986000881834213,0.06952160493827161,0.15827821869488534,0.9466049382716051,0.9569168871252205,0.3386298500881834,0.2605544532627866
all_pairs,0,19,0.0,0.6333333333333333,72,-0.0433525252425439,-0.3320461040561874,0.2362840783941781,72,1.4071422405165208,0.8594308207014044,1.944673278694419,72,-0.2010422780269286,-0.4722189226699235,0.21936339070442204,72,1.8470840885242583,1.2660723808465861,2.5023027523302908,72,1.474559812400044,0.9061420583347667,2.35918829370109,72,100.64212427218742,68.9442608977391,129.95995204535635,72,8.440439786646799,6.477428463775075,12.429276816471814,72,0.9919611746122672,0.9830741561796595,0.9948758414727313,72,2.7022930594741914,1.8862454444930479,3.486494144286363,72,0.5064759700176367,0.5634093915343915,0.3530643738977073,0.22904541446208113,0.08312940917107584,0.16096781305114638,0.9426697530864198,0.953422619047619,0.34523809523809523,0.2632385361552028
