group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,main_cell_include,phenotype,forced_valid_zero,excluded_above_valid_range,primary_current_range,total_spike_count,sustained_spike_count,total_rate_hz,sustained_rate_hz,first_spike_latency_ms,early_spike_count,late_spike_count,depolarization_block_candidate
WT,WT_04,/root/neurothermo/WT/cc_04.abf,14,700.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,69,69,69.6969696969697,69.6969696969697,20.099999999999994,29,14,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,0,0.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,1,50.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,2,100.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,3,150.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,4,200.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,5,250.0,131.20000000000002,1131.2,0,no_signal,0,0,1,1,0,1.0101010101010102,0.0,5.699999999999989,1,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,6,300.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,2,2.0202020202020203,2.0202020202020203,11.300000000000011,2,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,7,350.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,2,2.0202020202020203,2.0202020202020203,11.599999999999994,2,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,8,400.0,131.20000000000002,1131.2,0,no_signal,0,0,1,2,2,2.0202020202020203,2.0202020202020203,8.799999999999983,2,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,9,450.0,131.20000000000002,1131.2,0,no_signal,0,0,1,4,3,4.040404040404041,3.0303030303030303,6.299999999999983,3,0,1
WT,WT_05,/root/neurothermo/WT/cc_05.abf,10,500.0,131.20000000000002,1131.2,0,no_signal,0,0,1,4,4,4.040404040404041,4.040404040404041,8.0,4,0,1
WT,WT_05,/root/neurothermo/WT/cc_05.abf,11,550.0,131.20000000000002,1131.2,0,no_signal,0,0,1,4,3,4.040404040404041,3.0303030303030303,5.699999999999989,3,1,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,12,600.0,131.20000000000002,1131.2,0,no_signal,0,0,1,3,3,3.0303030303030303,3.0303030303030303,5.199999999999989,3,0,1
WT,WT_05,/root/neurothermo/WT/cc_05.abf,13,650.0,131.20000000000002,1131.2,0,no_signal,0,0,0,6,5,6.0606060606060606,5.05050505050505,5.399999999999977,5,1,1
WT,WT_05,/root/neurothermo/WT/cc_05.abf,14,700.0,131.20000000000002,1131.2,0,no_signal,0,0,0,4,4,4.040404040404041,4.040404040404041,9.0,4,0,1
WT,WT_05,/root/neurothermo/WT/cc_05.abf,15,750.0,131.20000000000002,1131.2,0,no_signal,0,0,0,2,2,2.0202020202020203,2.0202020202020203,6.099999999999994,2,0,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,16,800.0,131.20000000000002,1131.2,0,no_signal,0,0,0,5,5,5.05050505050505,5.05050505050505,6.399999999999977,3,2,0
WT,WT_05,/root/neurothermo/WT/cc_05.abf,17,850.0,131.20000000000002,1131.2,0,no_signal,0,0,0,5,5,5.05050505050505,5.05050505050505,10.399999999999977,5,0,1
WT,WT_06,/root/neurothermo/WT/cc_06.abf,0,0.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,1,50.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,2,100.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,3,150.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,4,200.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,1,0,1.0101010101010102,0.0,216.49999999999997,1,0,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,5,250.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,3,3,3.0303030303030303,3.0303030303030303,175.70000000000002,3,0,1
WT,WT_06,/root/neurothermo/WT/cc_06.abf,6,300.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,21,21,21.21212121212121,21.21212121212121,77.1,10,2,1
WT,WT_06,/root/neurothermo/WT/cc_06.abf,7,350.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,48,48,48.484848484848484,48.484848484848484,50.79999999999998,16,15,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,8,400.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,64,64,64.64646464646465,64.64646464646465,37.39999999999998,21,21,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,9,450.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,67,67,67.67676767676768,67.67676767676768,38.099999999999994,22,21,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,10,500.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,79,79,79.79797979797979,79.79797979797979,27.599999999999966,27,25,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,11,550.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,86,86,86.86868686868686,86.86868686868686,22.900000000000006,29,28,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,12,600.0,131.20000000000002,1131.2,1,plateau_prone,0,0,1,92,92,92.92929292929293,92.92929292929293,21.599999999999994,31,30,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,13,650.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,102,102,103.03030303030303,103.03030303030303,15.300000000000011,35,33,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,14,700.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,107,107,108.08080808080808,108.08080808080808,12.300000000000011,36,35,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,15,750.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,110,110,111.11111111111111,111.11111111111111,13.099999999999994,37,35,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,16,800.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,114,114,115.15151515151516,115.15151515151516,12.499999999999972,39,37,0
WT,WT_06,/root/neurothermo/WT/cc_06.abf,17,850.0,131.20000000000002,1131.2,1,plateau_prone,0,1,0,69,69,69.6969696969697,69.6969696969697,9.399999999999977,41,0,1
WT,WT_07,/root/neurothermo/WT/cc_07.abf,0,0.0,131.20000000000002,1131.2,0,no_signal,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,1,50.0,131.20000000000002,1131.2,0,no_signal,0,0,1,1,0,1.0101010101010102,0.0,204.9,1,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,2,100.0,131.20000000000002,1131.2,0,no_signal,0,0,1,1,0,1.0101010101010102,0.0,90.19999999999999,1,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,3,150.0,131.20000000000002,1131.2,0,no_signal,0,0,1,1,0,1.0101010101010102,0.0,235.00000000000003,1,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,4,200.0,131.20000000000002,1131.2,0,no_signal,0,0,1,1,0,1.0101010101010102,0.0,326.0,1,0,0
WT,WT_07,/root/neurothermo/WT/cc_07.abf,5,250.0,131.20000000000002,1131.2,0,no_signal,0,0,1,1,0,1.0101010101010102,0.0,288.30000000000007,1,0,0
