biological_pair_key,both_core_secure,stage,A_threshold,median_drive_dominance_fraction_weighted_median,median_abs_dA_ddrive_weighted_median,median_abs_dA_dintrinsic_weighted_median,median_gradient_magnitude_weighted_median,scenario_support_with_boundary_band
WT_10__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.7837270865258378,1.1699247282605603,0.09400231458629625,1.1731683950593654,1.0
WT_10__TO__SCA3_01,True,balance,0.5,0.7759494887473503,1.6248560140570665,0.05263983743698243,1.6265845904778908,1.0
WT_10__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.7641778936758107,1.8703952325112163,0.23731445125823847,1.8855937862869334,1.0
WT_10__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.5256867533596754,1.331643953272171,0.7027832069844423,1.7696184633110645,1.0
WT_10__TO__SCA3_02,False,balance,0.5,0.5178020645842666,1.0347503205590136,0.577550454784907,1.3430920763804164,1.0
WT_10__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.688482931958652,1.3837697836379408,0.4799294592483727,1.5045850352310173,1.0
WT_10__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.4391618287164897,0.7380987868341244,0.7009813151457922,1.7859003136994045,1.0
WT_10__TO__SCA3_04,True,balance,0.5,0.45583891202107546,1.1251374311076978,1.0024476906476245,1.8975080432081355,1.0
WT_10__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.41469426323659464,1.2605886567669509,0.488830176508672,1.4284641279055186,1.0
WT_10__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.201746174646884,0.5450005998429098,1.4003463477285236,1.9150350600010628,1.0
WT_10__TO__SCA3_05,False,balance,0.5,0.39998961628409924,0.9181824976280998,0.696313454669479,1.0874535624974484,1.0
WT_10__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.34324415782689544,0.8320869673982214,1.4846117525295177,1.9977643816879564,0.8571428571428571
WT_10__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.8385881843267089,1.4059998683833879,0.27780893266211704,1.4508827858804803,1.0
WT_10__TO__SCA3_06,True,balance,0.5,0.8593883780811808,2.2122614936748657,0.3456019433299671,2.239704211800084,1.0
WT_10__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.792874359280873,2.477889994160621,0.5934042024986705,2.565222246669187,1.0
WT_10__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.23620352950577123,1.1559812992467737,1.6016080739846164,2.1193739343926525,1.0
WT_10__TO__SCA3_09,True,balance,0.5,0.2875085211659338,1.3897493461313999,1.5419828644403368,2.324871929578909,1.0
WT_10__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.37192409355000794,1.1132862485893569,1.1001146987579256,2.0923079926700603,1.0
