biological_pair_key,both_core_secure,path_family,WT_exit_support_weight,WT_exit_p_weighted_median,balance_support_weight,balance_p_weighted_median,SCA3_entry_support_weight,SCA3_entry_p_weighted_median
WT_07__TO__SCA3_06,False,drive_early,1.0,0.0,1.0,0.0,1.0,0.2924174473703526
WT_07__TO__SCA3_06,False,coupled,1.0,0.0,1.0,0.0,1.0,0.2916581882584101
WT_07__TO__SCA3_06,False,drive_late,1.0,0.0,1.0,0.0,1.0,0.060644091107994944
WT_07__TO__SCA3_09,False,drive_early,1.0,0.0,1.0,0.0,1.0,0.2410613082654136
WT_07__TO__SCA3_09,False,coupled,1.0,0.0,1.0,0.0,1.0,0.3617931904039567
WT_07__TO__SCA3_09,False,drive_late,1.0,0.0,1.0,0.0,1.0,0.45392140151293403
WT_08__TO__SCA3_01,True,drive_early,1.0,0.47073774868833546,1.0,0.6939245590060839,1.0,0.8522390832727489
WT_08__TO__SCA3_01,True,coupled,1.0,0.6180228859516887,1.0,0.779760052613762,1.0,0.9041196031625552
WT_08__TO__SCA3_01,True,drive_late,1.0,0.6981478986555841,1.0,0.828387992433919,1.0,0.9311710071618048
WT_08__TO__SCA3_02,False,drive_early,0.8571428571428571,0.8829295351481977,0.0,,0.0,
WT_08__TO__SCA3_02,False,coupled,0.8571428571428571,0.41047399063747836,0.0,,0.0,
WT_08__TO__SCA3_02,False,drive_late,0.8571428571428571,0.34232877451939536,0.42857142857142855,0.35363474474533735,0.42857142857142855,0.3624638592651916
WT_08__TO__SCA3_04,True,drive_early,1.0,0.5889528668251092,1.0,0.8501971693691506,0.49999999999999994,0.8939704382203457
WT_08__TO__SCA3_04,True,coupled,1.0,0.5632455815871656,1.0,0.8477769041450617,0.49999999999999994,0.8788792078745064
WT_08__TO__SCA3_04,True,drive_late,1.0,0.44794133513006584,1.0,0.8541397601482049,0.49999999999999994,0.7297636561751677
WT_08__TO__SCA3_05,False,drive_early,0.8571428571428571,0.44681594915811224,0.8571428571428571,0.6894993490942629,0.14285714285714285,0.6812126171786874
WT_08__TO__SCA3_05,False,coupled,0.8571428571428571,0.39049265017335966,0.8571428571428571,0.6316547719184624,0.2857142857142857,0.47956105177746505
WT_08__TO__SCA3_05,False,drive_late,0.8571428571428571,0.28136165870747226,0.8571428571428571,0.45843918706691966,0.2857142857142857,0.6761167954222066
WT_08__TO__SCA3_06,True,drive_early,1.0,0.425135060885996,1.0,0.5854177615270972,1.0,0.7137361981802828
WT_08__TO__SCA3_06,True,coupled,1.0,0.49631011197254676,1.0,0.6812582644125306,1.0,0.8201903725990676
WT_08__TO__SCA3_06,True,drive_late,1.0,0.52087896906156,1.0,0.7542339835617443,1.0,0.881666999102398
WT_08__TO__SCA3_09,True,drive_early,1.0,0.3079976815850956,1.0,0.5732592199574658,1.0,0.7576984966512981
WT_08__TO__SCA3_09,True,coupled,1.0,0.2098889079559753,1.0,0.27755129488183006,1.0,0.464666187029016
WT_08__TO__SCA3_09,True,drive_late,1.0,0.15849239811304744,1.0,0.5213017598405315,1.0,0.5276905088821086
WT_09__TO__SCA3_01,True,drive_early,1.0,0.1908029224287235,1.0,0.3372990102938227,1.0,0.4730624549785273
WT_09__TO__SCA3_01,True,coupled,1.0,0.36395178721639065,1.0,0.6401706041075926,1.0,0.8382966023770845
WT_09__TO__SCA3_01,True,drive_late,1.0,0.5946380372239375,1.0,0.8223476031011405,1.0,0.932030227134425
WT_09__TO__SCA3_02,False,drive_early,0.9761904761904762,0.3272130794526928,0.5238095238095238,0.407472120054721,0.23809523809523808,0.4439403923633556
WT_09__TO__SCA3_02,False,coupled,0.9761904761904762,0.37284127674490586,0.40476190476190477,0.3907956153992166,0.14285714285714285,0.1315343231052095
WT_09__TO__SCA3_02,False,drive_late,0.9761904761904762,0.6688318847739027,0.40476190476190477,0.5960838986267156,0.23809523809523808,0.5968253102246716
WT_09__TO__SCA3_04,True,drive_early,1.0,0.22847490792134834,1.0,0.5043483615799629,0.7222222222222222,0.6743494948342503
WT_09__TO__SCA3_04,True,coupled,1.0,0.3569782796519373,1.0,0.6948898994801184,0.5277777777777778,0.8496259030370503
WT_09__TO__SCA3_04,True,drive_late,1.0,0.47274509373871004,1.0,0.807707899331232,0.47222222222222227,0.945062116421115
