subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support,q25_majority_support,q75_majority_support
all_pairs,drive,p_intrinsic,0.3,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,54,0.75,0.6666666666666666,0.1333333333333333,0.0,0.5440016156433592,0.21675669218379268,0.0,0.6068428946134187
all_pairs,drive,p_intrinsic,0.3,active,WT_exit,0.1483293470542087,p_drive,72,70,0.9722222222222222,65,0.9027777777777778,0.961309523809524,1.1102230246251552e-17,0.0,0.22353130367795968,2.2204460492503104e-17,0.0,0.25822346258608014
all_pairs,drive,p_intrinsic,0.3,active,balance,0.5,p_drive,72,68,0.9444444444444444,56,0.7777777777777778,0.7559523809523809,0.17879922931552167,0.0,0.47518330442556433,0.25908628910716536,0.0,0.5405495264854443
all_pairs,drive,p_intrinsic,0.3,isi,SCA3_entry,0.7978563373093712,p_drive,72,62,0.8611111111111112,30,0.4166666666666667,0.41071428571428575,0.5614688089834325,0.32944505644708216,0.7041731548549518,0.6667965597596859,0.391179728866439,0.7548597496794458
all_pairs,drive,p_intrinsic,0.3,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,66,0.9166666666666666,0.9166666666666667,0.10769599581509462,0.0,0.2938873430180514,0.09999999999999998,0.0,0.29625837845832176
all_pairs,drive,p_intrinsic,0.3,isi,balance,0.5,p_drive,72,65,0.9027777777777778,55,0.7638888888888888,0.6619047619047618,0.4496889710727809,0.17507799664751036,0.5934941929882305,0.4886631336421695,0.25431220111603925,0.5899769946319342
all_pairs,drive,p_intrinsic,0.3333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,54,0.75,0.6666666666666666,0.1333333333333333,0.0,0.5416298627591193,0.18134065411136194,0.0,0.5593334016280742
all_pairs,drive,p_intrinsic,0.3333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,70,0.9722222222222222,67,0.9305555555555556,0.9505952380952383,0.0,0.0,0.2326309627468261,0.0,0.0,0.2349048069826123
all_pairs,drive,p_intrinsic,0.3333333333333333,active,balance,0.5,p_drive,72,68,0.9444444444444444,59,0.8194444444444444,0.7857142857142857,0.14999999999999997,0.0,0.44007897424969294,0.18763688727671032,0.0,0.4624791095318441
all_pairs,drive,p_intrinsic,0.3333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,63,0.875,33,0.4583333333333333,0.41071428571428575,0.5473787690501795,0.3166666666666667,0.7255598917245758,0.6150556392786707,0.18919631024949338,0.7355249006551648
all_pairs,drive,p_intrinsic,0.3333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,68,0.9444444444444444,0.9166666666666667,0.11141360325048334,0.0,0.3017333297376136,0.11141360325048334,1.1783353481959213e-16,0.3071911253787479
all_pairs,drive,p_intrinsic,0.3333333333333333,isi,balance,0.5,p_drive,72,67,0.9305555555555556,52,0.7222222222222222,0.6666666666666666,0.44673529502046805,0.12697581800551833,0.5853789781704131,0.4807358780985975,0.26115222486388934,0.5942590540803565
all_pairs,drive,p_intrinsic,0.3666666666666666,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,55,0.7638888888888888,0.6880952380952382,0.12500000000000003,0.0,0.5216441834221738,0.17649926393757528,0.0,0.5417614356606615
all_pairs,drive,p_intrinsic,0.3666666666666666,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,70,0.9722222222222222,0.961309523809524,0.0,0.0,0.22439413334210173,0.0,0.0,0.22696693628516418
all_pairs,drive,p_intrinsic,0.3666666666666666,active,balance,0.5,p_drive,72,68,0.9444444444444444,59,0.8194444444444444,0.8075396825396826,0.1323519113911089,0.0,0.45266449421899524,0.16666666666666646,0.0,0.492600665043594
all_pairs,drive,p_intrinsic,0.3666666666666666,isi,SCA3_entry,0.7978563373093712,p_drive,72,63,0.875,33,0.4583333333333333,0.4365079365079365,0.5636486800124911,0.31666666666666665,0.7262588957367553,0.6259176010518168,0.1666666666666666,0.7440045679381394
all_pairs,drive,p_intrinsic,0.3666666666666666,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,68,0.9444444444444444,0.9428571428571428,0.09915792725125358,0.0,0.30510991102458446,0.10060860225110599,0.0,0.3212314632167629
all_pairs,drive,p_intrinsic,0.3666666666666666,isi,balance,0.5,p_drive,72,67,0.9305555555555556,54,0.75,0.6761904761904762,0.44540725669067793,0.13590985016113516,0.5907203729457899,0.4779813884562195,0.20943968051560627,0.5917580908360792
all_pairs,drive,p_intrinsic,0.4,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,55,0.7638888888888888,0.6904761904761906,0.13160144126717999,0.0,0.501330813353042,0.14999999999999997,0.0,0.5447302759770453
all_pairs,drive,p_intrinsic,0.4,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,71,0.9861111111111112,0.9682539682539683,0.0,0.0,0.20745954931467625,0.0,0.0,0.21491909862935246
all_pairs,drive,p_intrinsic,0.4,active,balance,0.5,p_drive,72,69,0.9583333333333334,60,0.8333333333333334,0.8333333333333333,0.13333333333333347,0.0,0.4596589398987141,0.14207785867169326,0.0,0.484713942235408
all_pairs,drive,p_intrinsic,0.4,isi,SCA3_entry,0.7978563373093712,p_drive,72,65,0.9027777777777778,34,0.4722222222222222,0.4484126984126985,0.5949511743721302,0.21666666666666667,0.7345433605680336,0.6227677974300847,0.19764833573180313,0.7411510051639131
all_pairs,drive,p_intrinsic,0.4,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,71,0.9861111111111112,0.930952380952381,0.09999999999999992,9.244422915765437e-18,0.3333333333333333,0.09999999999999996,6.162948610510291e-18,0.3333333333333333
all_pairs,drive,p_intrinsic,0.4,isi,balance,0.5,p_drive,72,69,0.9583333333333334,54,0.75,0.7261904761904763,0.43754969710019226,0.12749614787307922,0.6206295486726672,0.45422808476682297,0.2361327419488239,0.6300984579343242
all_pairs,drive,p_intrinsic,0.4333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,68,0.9444444444444444,57,0.7916666666666666,0.7182539682539684,0.12590965384299208,0.0,0.4928386970123617,0.13333333333333355,0.0,0.5520683625831254
all_pairs,drive,p_intrinsic,0.4333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,71,0.9861111111111112,0.9694444444444444,0.0,0.0,0.20833333333333334,0.0,0.0,0.21666666666666667
all_pairs,drive,p_intrinsic,0.4333333333333333,active,balance,0.5,p_drive,72,69,0.9583333333333334,61,0.8472222222222222,0.8660714285714286,0.033333333333333305,0.0,0.42797799785669594,0.13333333333333341,0.0,0.4613248589707127
all_pairs,drive,p_intrinsic,0.4333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,65,0.9027777777777778,34,0.4722222222222222,0.4484126984126985,0.5265792929803901,0.1858134459693729,0.7184183716117389,0.6186549963262777,0.19015853875223826,0.7491541798296486
all_pairs,drive,p_intrinsic,0.4333333333333333,isi,WT_exit,0.1358293233470019,p_drive,72,72,1.0,72,1.0,0.9476190476190476,0.08603440903602863,1.8589271316139182e-17,0.33968193036098915,0.08603440903602863,1.8589271316139182e-17,0.33968193036098915
all_pairs,drive,p_intrinsic,0.4333333333333333,isi,balance,0.5,p_drive,72,69,0.9583333333333334,56,0.7777777777777778,0.7500000000000001,0.4207392546673224,0.1,0.5988785442431623,0.4412044620705765,0.20164150870621955,0.6064567394266306
all_pairs,drive,p_intrinsic,0.4666666666666667,active,SCA3_entry,0.6832817402871161,p_drive,72,69,0.9583333333333334,59,0.8194444444444444,0.7559523809523809,0.06666666666666653,0.0,0.4391581444372923,0.16016854519010787,0.0,0.5611941286093851
all_pairs,drive,p_intrinsic,0.4666666666666667,active,WT_exit,0.1483293470542087,p_drive,72,72,1.0,72,1.0,0.9694444444444444,0.0,0.0,0.17499999999999996,0.0,0.0,0.17499999999999996
