biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_isi_v1_1_weighted_median,A_active_weighted_median,rheobase_J_weighted_median,active_support_rate_hz_weighted_median,mean_isi_ms_weighted_median,occupancy_fraction_weighted_median
WT_03__TO__SCA3_01,drive_early,0.6000000000000001,WT_03,SCA3_01,0.8263142470775919,0.7811427922640585,3.3132233675500893,29.319529852515807,21.26109018346597,0.9830374861436192
WT_03__TO__SCA3_01,drive_early,0.625,WT_03,SCA3_01,0.8693867655656452,0.8322979289978611,3.3950891724219177,30.50582811388371,22.255870676062248,0.980556494196032
WT_03__TO__SCA3_01,drive_early,0.65,WT_03,SCA3_01,0.9123774723958151,0.8875775769375632,3.529272343219649,27.32757408267819,23.224391804046505,0.9760863084220468
WT_03__TO__SCA3_01,drive_early,0.675,WT_03,SCA3_01,0.954330801971526,0.9247075721415277,3.707038836876096,26.321665348718017,24.16005310352161,0.9871898676092954
WT_03__TO__SCA3_01,drive_early,0.7000000000000001,WT_03,SCA3_01,0.9647571178933639,0.9363443181743503,3.926591893724305,26.409441117294733,23.96801318338526,0.9824117422177904
WT_03__TO__SCA3_01,drive_early,0.7250000000000001,WT_03,SCA3_01,0.965194216055225,1.0438999730832121,4.176842735542998,26.49780426240406,23.444591430735354,0.9579934098142844
WT_03__TO__SCA3_01,drive_early,0.75,WT_03,SCA3_01,1.0266423417487882,1.0028535624629653,4.442018540803305,25.478979003912773,24.984871870703294,0.9747225844363004
WT_03__TO__SCA3_01,drive_early,0.775,WT_03,SCA3_01,1.059482980976355,1.0879522290175185,4.726521670834765,25.56480324032144,25.612157159584616,0.9728179596647266
WT_03__TO__SCA3_01,drive_early,0.8,WT_03,SCA3_01,1.0791338262572585,1.1023912843264791,5.019774468942763,25.65120761729339,25.777373393111663,0.9625858165288776
WT_03__TO__SCA3_01,drive_early,0.8250000000000001,WT_03,SCA3_01,1.1250121534474868,1.116711019742665,5.321186815237205,27.97630221422323,27.059553619197573,0.982231379084332
WT_03__TO__SCA3_01,drive_early,0.8500000000000001,WT_03,SCA3_01,1.1413597344637012,1.1347744725317597,5.624847787194,29.19436054519898,27.198058155351763,0.9670615015285472
WT_03__TO__SCA3_01,drive_early,0.875,WT_03,SCA3_01,1.1322314732583203,1.1180078551096488,5.93187811159758,31.547430803565224,26.339635719433108,0.9775037407995522
WT_03__TO__SCA3_01,drive_early,0.9,WT_03,SCA3_01,1.1247827618745485,1.1051740345760026,6.178136616465991,33.916624942520045,25.644342582398252,0.9798824847649892
WT_03__TO__SCA3_01,drive_early,0.925,WT_03,SCA3_01,1.1146791133319653,1.1578152649814253,6.399779181408382,36.30210925967732,24.956807265544676,0.991071397657388
WT_03__TO__SCA3_01,drive_early,0.95,WT_03,SCA3_01,1.127585226388026,1.1084090451284156,6.616744397969503,38.70405234740866,25.40536676619369,0.9896376867171228
