scenario_id,path_family,biological_pair_key,wt_cell_id,sca_cell_id,wt_solution_key,sca_solution_key,within_pair_support_weight,scenario_weight,biological_pair_weight,wt_exit_p_isi,balance_p_isi,sca3_entry_p_isi,start_A_isi,end_A_isi,start_inside_wt_isi,end_inside_sca3_isi,wt_exit_p_active,balance_p_active,sca3_entry_p_active,start_A_active,end_A_active,start_inside_wt_active,end_inside_sca3_active,wt_exit_active_isi_gap,wt_exit_dual_agrees,wt_exit_dual_consensus_p,balance_active_isi_gap,balance_dual_agrees,balance_dual_consensus_p,sca3_entry_active_isi_gap,sca3_entry_dual_agrees,sca3_entry_dual_consensus_p,occupancy_at_wt_exit_isi,occupancy_at_balance_isi,occupancy_at_sca3_entry_isi
172,drive_late,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,b_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.037621758147885986,0.8052875596905977,,0.0646583603722135,0.6666278650627551,True,False,0.012594560076490369,0.15393940247331656,0.184744284711801,0.12089573779749481,2.3363016791654996,True,True,0.02502719807139562,True,0.025108159112188177,0.6513481572172812,False,,,False,,0.9854743738756525,0.21060918224709543,
173,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,r_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.1431161100435033,0.5941300447363379,,0.0646583603722135,0.6779565471131395,True,False,0.13050481697384017,0.4170463851579188,0.4722579926403312,0.12089573779749481,0.86074556414558,True,True,0.012611293069663132,True,0.13681046350867174,0.1770836595784191,False,,,False,,0.9938589399904334,0.630913062700218,
173,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,r_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.14615699338996435,0.3326898556257953,,0.0646583603722135,0.6778281773339914,True,False,0.15555578621320723,0.3249182257200396,0.36216553955637576,0.12089573779749481,0.860650823747765,True,True,0.00939879282324288,True,0.15085638980158578,0.007771629905755695,True,0.32880404067291746,,False,,0.988062296120757,0.9809195667627871,
173,drive_late,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,r_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.054629802155505516,0.8062434549376474,,0.0646583603722135,0.6777865354386065,True,False,0.017782376010563018,0.29681391088621345,0.8656369482696723,0.12089573779749481,0.8606200908933443,True,True,0.0368474261449425,True,0.03620608908303427,0.5094295440514339,False,,,False,,0.9983710425597132,0.8255597874962048,
174,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,r_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.5323982176208664,0.9468616870865229,,0.0646583603722135,0.5572862770560588,True,False,0.6093462095770088,0.9832889687986964,,0.12089573779749481,0.5118974995616611,True,False,0.07694799195614244,True,0.5708722135989376,0.036427281712173576,True,0.9650753279426096,,False,,0.9901556831064532,0.997255117472666,
174,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,r_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.2998612247785267,0.7448801599407199,,0.0646583603722135,0.5575582959771455,True,False,0.3509947834663506,0.8130941785884235,,0.12089573779749481,0.5120982569437182,True,False,0.05113355868782388,True,0.32542800412243866,0.0682140186477036,True,0.7789871692645717,,False,,0.9959715612575588,0.9875324596091066,
174,drive_late,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,r_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.7407938747061176,0.9737559991840404,,0.0646583603722135,0.5575711401483784,True,False,0.7895165516647138,0.9939225676722924,,0.12089573779749481,0.5121077362923646,True,False,0.04872267695859622,True,0.7651552131854157,0.020166568488251935,True,0.9838392834281664,,False,,0.9930676422452935,0.9858182406544056,
175,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,s_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.14570712998428487,0.5655108672994538,,0.0646583603722135,0.6840551566659834,True,False,0.13104475541829363,0.42080199785669137,0.4855431335186237,0.12089573779749481,0.8587892888819776,True,True,0.014662374565991232,True,0.13837594270128925,0.1447088694427624,False,,,False,,0.9933065477443772,0.6854861840017566,
175,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,s_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.14902624443465784,0.33753747082384983,,0.0646583603722135,0.6839308721162968,True,False,0.16182226906676062,0.3317606256757216,0.3675121542129397,0.12089573779749481,0.8586975634949144,True,True,0.012796024632102776,True,0.15542425675070923,0.005776845148128207,True,0.3346490482497857,,False,,0.998888073692961,0.9888000318536345,
175,drive_late,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,s_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.05438809826802664,0.805246903317516,,0.0646583603722135,0.6837692374863812,True,False,0.017782376010563018,0.28537227088649175,0.8681548981409981,0.12089573779749481,0.8585782727300588,True,True,0.03660572225746362,True,0.03608523713929483,0.5198746324310243,False,,,False,,0.9853522648186337,0.8293958695561122,
176,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,kappa_I_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.1100819735207055,0.40996965212901465,,0.0646583603722135,0.6489619772300886,True,False,0.09737812612894012,0.3969424123744089,0.5548446654010848,0.12089573779749481,0.6488858311860585,True,False,0.012703847391765388,True,0.10373004982482281,0.013027239754605735,True,0.4034560322517118,,False,,0.9918083580073307,0.9850397798988284,
176,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,kappa_I_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.03985900665543099,0.16180898586317083,0.22291980924723143,0.0646583603722135,0.6488836871928477,True,False,0.029102276523424828,0.15211423362151408,0.192226700081766,0.12089573779749481,0.6488280510035078,True,False,0.010756730132006162,True,0.03448064158942791,0.009694752241656751,True,0.15696160974234247,0.030693109165465415,True,0.20757325466449872,0.9974836571479772,0.9918397897368605,0.973143637300334
176,drive_late,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,kappa_I_LOW,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.5402504115450372,0.812754642631216,,0.0646583603722135,0.6490114113030835,True,False,0.5622866849796047,0.8166453008603493,,0.12089573779749481,0.6489223148800575,True,False,0.022036273434567488,True,0.551268548262321,0.003890658229133259,True,0.8146999717457826,,False,,0.991003593217565,0.9829763426539031,
177,coupled,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,kappa_I_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.052170123413995996,0.25976175480780533,0.837740089589834,0.0646583603722135,1.0438623098951936,True,True,0.029305705241638128,0.23003502917818858,0.29379423832458323,0.12089573779749481,1.1098832737594113,True,True,0.02286441817235787,True,0.040737914327817065,0.029726725629616757,True,0.24489839199299696,0.5439458512652509,False,,0.9955847569309074,0.9928197641595747,0.5118877329412925
177,drive_early,WT_04__TO__SCA3_05,WT_04,SCA3_05,r_LOW,kappa_I_HIGH,0.0238095238095237,0.0003306878306878,0.0138888888888888,0.1641477237546574,0.367229526137303,0.4746677635263481,0.0646583603722135,1.0434986466224345,True,True,0.18166752889645552,0.3555359703711998,0.4146387141479726,0.12089573779749481,1.1096148803465644,True,True,0.017519805141798128,True,0.17290762632555645,0.011693555766103148,True,0.36138274825425143,0.0600290493783755,True,0.44465323883716035,0.9984203077909383,0.993190188143457,0.9887049560537268
