biological_pair_key,both_core_secure,projection,p_intrinsic,dA_dcombined_weighted_median,dA_dkappa_weighted_median,dA_dJ_weighted_median,interaction_gradient_residual_weighted_median
WT_15__TO__SCA3_06,False,isi,0.6333333333333333,1.5397749038600912,2.278490343416948,-0.936020548395831,-0.0060590698128074605
WT_15__TO__SCA3_06,False,isi,0.6666666666666666,1.598881438521095,2.2639044973838165,-0.8807195326476109,-0.001989038429275336
WT_15__TO__SCA3_06,False,isi,0.7,1.649139529100024,2.3072205696292367,-0.8377750141165738,-0.0034572493225264456
WT_15__TO__SCA3_06,False,isi,0.7333333333333333,1.7073541922780084,2.3640178924723654,-0.860855285768105,-0.0058237753696782635
WT_15__TO__SCA3_06,False,isi,0.7666666666666666,1.778298341754941,2.455410880905725,-0.7826351384374518,-0.01739085495223347
WT_15__TO__SCA3_06,False,isi,0.8,1.8537863424237515,2.5630413106709473,-0.8310379600024258,0.00035036618322170643
WT_15__TO__SCA3_06,False,isi,0.8333333333333334,1.9727275737615533,2.843162122550067,-0.836418788322416,-0.055467528688378454
WT_15__TO__SCA3_06,False,isi,0.8666666666666667,2.136277229214707,2.9828974682401412,-0.8698535917820951,-0.01727496688400809
WT_15__TO__SCA3_06,False,isi,0.9,,3.254942598257206,-0.9893192960272575,
WT_15__TO__SCA3_06,False,isi,0.9333333333333332,,3.67046507864277,-1.0575465301007045,
WT_15__TO__SCA3_06,False,isi,0.9666666666666668,,4.589408565751441,-1.357998199272097,
WT_15__TO__SCA3_06,False,isi,1.0,,5.876303002156159,-2.093863389582045,
WT_15__TO__SCA3_09,False,active,0.0,,0.676082831126055,-1.6332447044712066,
WT_15__TO__SCA3_09,False,active,0.0333333333333333,,0.7062433573986482,-1.6540897939547163,
WT_15__TO__SCA3_09,False,active,0.0666666666666666,,0.747342090448575,-1.6186254320117421,
WT_15__TO__SCA3_09,False,active,0.1,,0.8571734263518782,-1.6014581185660237,
WT_15__TO__SCA3_09,False,active,0.1333333333333333,,0.872524932548367,-1.636165233532735,
WT_15__TO__SCA3_09,False,active,0.1666666666666666,,1.035573386131602,-1.6724119297380142,
WT_15__TO__SCA3_09,False,active,0.2,,1.4700923978618126,-1.7103031077444002,
WT_15__TO__SCA3_09,False,active,0.2333333333333333,,1.6601749102991286,-1.5997614172087071,
WT_15__TO__SCA3_09,False,active,0.2666666666666666,,1.5263206083102403,-1.6577219950135622,
WT_15__TO__SCA3_09,False,active,0.3,,1.5402332443350344,-1.6987564615312918,
WT_15__TO__SCA3_09,False,active,0.3333333333333333,,1.1747736570607925,-1.5772947764186012,
WT_15__TO__SCA3_09,False,active,0.3666666666666666,,1.2130566690558044,-1.6401147759154726,
WT_15__TO__SCA3_09,False,active,0.4,,1.2575356325890996,-1.3987418190628087,
WT_15__TO__SCA3_09,False,active,0.4333333333333333,,1.5124969596136875,-1.5951139932123857,
WT_15__TO__SCA3_09,False,active,0.4666666666666667,,1.1513778301282187,-1.4479097878845197,
WT_15__TO__SCA3_09,False,active,0.5,-0.05726404027624399,1.2163535679056168,-1.06583881010165,0.0
WT_15__TO__SCA3_09,False,active,0.5333333333333333,-0.06083245404682199,1.281073744237997,-0.872828698996648,0.0
WT_15__TO__SCA3_09,False,active,0.5666666666666667,0.0900205957976306,1.1036426829899573,-0.8591817935790751,0.0
WT_15__TO__SCA3_09,False,active,0.6,0.08470309077763565,1.4468659469851954,-0.8728286989966486,-5.9164567891575885e-31
WT_15__TO__SCA3_09,False,active,0.6333333333333333,0.08988370024425078,1.2552921247189635,-0.7048946422943941,0.0
WT_15__TO__SCA3_09,False,active,0.6666666666666666,0.08981563529017764,1.7208955416905654,-0.9481298880943325,-3.3319701164824522e-15
WT_15__TO__SCA3_09,False,active,0.7,0.08974484888385392,1.8139143737855312,-0.9481298880943374,-1.9872992140790302e-14
WT_15__TO__SCA3_09,False,active,0.7333333333333333,0.08967178138644183,2.5460585929889934,-3.3141533177908107,0.0
WT_15__TO__SCA3_09,False,active,0.7666666666666666,0.08436730305270318,2.0098051330677573,-1.352806068349817,0.0
WT_15__TO__SCA3_09,False,active,0.8,0.11544377337505965,1.7496102942836087,-1.352806068349818,-4.338734978715565e-30
WT_15__TO__SCA3_09,False,active,0.8333333333333334,-0.33524903197848693,1.913110099454814,-1.3528060683498178,-3.469446951953614e-18
WT_15__TO__SCA3_09,False,active,0.8666666666666667,0.115284729664788,1.845684081384134,-1.0713812310786337,-4.338734978715565e-30
WT_15__TO__SCA3_09,False,active,0.9,,1.462830700492865,-0.9481298880943427,
WT_15__TO__SCA3_09,False,active,0.9333333333333332,,1.0578985487203032,-0.8869162785246867,
WT_15__TO__SCA3_09,False,active,0.9666666666666668,,1.0263925706540291,-0.8591817935790844,
WT_15__TO__SCA3_09,False,active,1.0,,0.9851189500810322,-0.931779579650265,
WT_15__TO__SCA3_09,False,isi,0.0,,0.5716060302800252,-1.1507878255874764,
