scenario_id,wt_cell_id,sca_cell_id,wt_animal_id,sca_animal_id,wt_solution_key,sca_solution_key,wt_source,sca_source,wt_b,wt_r,wt_s,wt_kappa_I,sca_b,sca_r,sca_s,sca_kappa_I,wt_rheobase_J_endpoint,sca_rheobase_J_endpoint,wt_J_q75,sca_J_q75,wt_active_support_ms,sca_active_support_ms,wt_within_cell_support_weight,sca_within_cell_support_weight,biological_pair_weight,within_pair_support_weight,scenario_weight,biological_pair_key
30,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,b_HIGH,r_LOW,b_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,5.32081129056834,0.0001379675781911,2.726334423918427,0.1138050673652359,1.8237926924463608,1.5739139038575878,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
31,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,r_LOW,r_LOW,r_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,5.058325048081602,0.000134353582935,2.5718417626155823,0.1190763663927034,1.8237926924463608,1.3264863905873994,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
32,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,r_HIGH,r_LOW,r_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,1.7153229597754271,0.0912955123819697,12.4124105689581,1.203258733619204,1.8237926924463608,1.5807868903373152,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
33,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,kappa_I_LOW,r_LOW,kappa_I_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.208008871756549,0.0154138562600507,0.8770914021572215,0.0437782759191279,1.8237926924463608,1.2440105528306695,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
34,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,kappa_I_HIGH,r_LOW,kappa_I_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,1.6938770214244712,0.0801551802327286,14.38556558178567,1.0929624914074123,1.8237926924463608,1.278375485229307,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
35,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,best,r_LOW,best,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,1.8237926924463608,2.998635531603484,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
36,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,b_LOW,r_LOW,b_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,1.874040756842884,0.0913896204225457,12.973660656527498,0.7182226987175595,1.8237926924463608,3.447729152561261,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
37,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,b_HIGH,r_LOW,b_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.030928926785516,0.0018911628599607,4.857666419592209,0.2709707926853018,1.8237926924463608,3.162367580911007,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
38,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,r_LOW,r_LOW,r_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.587716029893826,0.0049504499800163,3.025643669356378,0.2619783809564031,1.8237926924463608,3.5927489676622097,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
39,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,s_HIGH,r_LOW,s_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,3.463954750279856,0.0005984977503139,8.308396473112523,0.1986895690405713,1.8237926924463608,2.998635531603484,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
