subset,p_intrinsic,p_component,n_biological_pairs,delta_isi_combined_median,delta_isi_combined_q25,delta_isi_combined_q75,delta_isi_kappa_median,delta_isi_kappa_q25,delta_isi_kappa_q75,delta_isi_J_median,delta_isi_J_q25,delta_isi_J_q75,interaction_isi_median,interaction_isi_q25,interaction_isi_q75,delta_active_combined_median,delta_active_combined_q25,delta_active_combined_q75,delta_active_kappa_median,delta_active_kappa_q25,delta_active_kappa_q75,delta_active_J_median,delta_active_J_q25,delta_active_J_q75,interaction_active_median,interaction_active_q25,interaction_active_q75
core_secure_pairs,0.7333333333333333,0.5666666666666667,32,-0.14461355702786038,-0.2520763056914318,-0.05552304875133789,-0.2999025906164023,-0.38978521745763617,-0.1774652931798289,0.1487132319440927,0.12923474778149008,0.1768996740171537,-0.0345572078964866,-0.0669114238302787,-0.016892266222075555,-0.15846870889008569,-0.2681468998710994,-0.02312190728330714,-0.3669867172188833,-0.44805994601804733,-0.2202464592676634,0.21507341818581582,0.16704096745122185,0.284732803924984,-0.06217528161697476,-0.0994430512835834,-0.038469959440234285
core_secure_pairs,0.7333333333333333,0.6,32,-0.12615675269265236,-0.20623387450100236,-0.045276514523012894,-0.2440049854293975,-0.3182612767993425,-0.14279465290839433,0.11589763801106573,0.09667611154089337,0.13818430471595708,-0.023440385026017127,-0.04261521159145264,-0.01049611155685534,-0.13132272370268602,-0.22209641623917767,-0.022473213577833093,-0.29000707364811196,-0.36580705497102106,-0.1735520181442119,0.15933026351825091,0.13772400029728118,0.20680145674877892,-0.03944590651559515,-0.06302854175534456,-0.0186589920331722
core_secure_pairs,0.7333333333333333,0.6333333333333333,32,-0.08653662457687095,-0.15760254817757863,-0.03409231232626728,-0.18480056688823515,-0.24362421243289764,-0.10733596151221918,0.08848401000485878,0.07384028092903358,0.10443815480432832,-0.01517727994352068,-0.025926710498360303,-0.005793870957466611,-0.09821866655976765,-0.17088673787905567,-0.0214796350344696,-0.2272914083117388,-0.2750566406011683,-0.1337307180631173,0.11705367290436942,0.09547956130562288,0.1390206609618537,-0.027304894507645654,-0.03871127110810244,-0.009357426833299168
core_secure_pairs,0.7333333333333333,0.6666666666666666,32,-0.0610099825291785,-0.10632817879246112,-0.023533289757742264,-0.1247385397784616,-0.16578209044407283,-0.07527369062584167,0.054611102190447625,0.04242525949572783,0.0661261724990738,-0.00588569674798009,-0.01317935936053792,-0.0032203993728047425,-0.06724456791262781,-0.11951857766840593,-0.012459490237436312,-0.15055933785843015,-0.191241105229665,-0.08495232624834986,0.07121132285406923,0.06303775305446782,0.09197690656711849,-0.008799350353221245,-0.01729698990385825,-0.006240545577472629
core_secure_pairs,0.7333333333333333,0.7,32,-0.03277382538678725,-0.054100177523416414,-0.011526362854755062,-0.06377708875550407,-0.08492166979842419,-0.037820340247647875,0.02690546613614926,0.02172801182712322,0.03308706827575365,-0.0015131307405726602,-0.0027306830677294993,-0.0007408231745211977,-0.04092155325246404,-0.05470936763332506,-0.005254672498509843,-0.08097473879218917,-0.0986748988108308,-0.050757682123715384,0.03601338224154324,0.024926458706045977,0.04194927179132432,-0.002374856210648631,-0.005337947020745332,-0.0010871400689951832
core_secure_pairs,0.7333333333333333,0.7333333333333333,32,0.0,0.0,0.0,0.0,0.0,0.0,-2.2266638305651346e-05,-0.00012726540698224095,2.8647591323829883e-05,-4.022413592703887e-05,-0.00010550098226928814,2.4512850985289992e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1935883578798842e-06,-7.889136153853282e-05,2.1142703652610176e-05,-2.7657297212393954e-05,-7.234914344514398e-05,1.8091152523144732e-05
core_secure_pairs,0.7333333333333333,0.7666666666666666,32,0.027545204503922616,0.0024178500984146653,0.04298723336361329,0.05470603639314933,0.027919096697523807,0.08048829854592252,-0.031618037156419115,-0.03966984945819692,-0.027787533735903654,-0.0017751407307708418,-0.004478263407170044,-0.0005792591239931963,0.01883529594868913,0.003224225950765767,0.05122205206742156,0.0763206410582874,0.005224912361093597,0.0970019767830073,-0.04238341907240267,-0.050904208846997964,-0.03643653369980591,-0.004319487742758393,-0.006965019383885162,-0.0016482900412219251
core_secure_pairs,0.7333333333333333,0.8,32,0.05215605976621937,-0.003841737273322928,0.0964783148856259,0.1057986444864184,0.055417425524135186,0.1665549837904865,-0.060710834125994595,-0.07287274860228873,-0.0516335856101258,-0.00794220594996703,-0.013728579998303056,-0.003460237141878619,0.06100628401942465,0.004409338466064387,0.09719958519416678,0.15230797181288064,0.06595716583242442,0.19141017301141705,-0.08553627516220785,-0.09556817426898839,-0.06853928439731707,-0.012396276222611274,-0.02341118665199479,-0.002713622284341078
core_secure_pairs,0.7333333333333333,0.8333333333333334,32,0.08578526674705081,-0.006640487935202429,0.13522210151821915,0.16608984164451104,0.09078329826698711,0.25471583917918283,-0.08977787149538663,-0.10396601138526841,-0.08202890795207185,-0.017254212157101878,-0.03156993584707073,-0.006311921528662747,0.08219464015481237,-0.014250891056333393,0.1520822564488533,0.22180425932082093,0.08496260379869564,0.292845312150793,-0.12389998031991264,-0.1367430609204248,-0.10672637239804428,-0.02197780794575955,-0.03938370215801813,-0.008585454957244505
core_secure_pairs,0.7333333333333333,0.8666666666666667,32,0.1158912246971362,-0.013920653526345628,0.20242232951188774,0.2030657321389153,0.10137633009578173,0.34924520512717766,-0.1166350458642028,-0.13360721275497556,-0.10354027642992264,-0.020691157154210934,-0.051613224911900485,-0.00925359616160661,0.11389904490266275,-0.00975584659014803,0.22097192218928263,0.3014379032536142,0.12106578182814885,0.42838076030176486,-0.16175496924594224,-0.17617229895218214,-0.13627890484666672,-0.0390850471615851,-0.07259687819233619,-0.019291544543433
core_secure_pairs,0.7333333333333333,0.9,32,0.133152484959483,-0.013723216260963785,0.25764662381491676,0.2636367453812847,0.1438714910289849,0.4111184922287128,-0.1413000818065102,-0.1619072626121863,-0.12507854891806108,-0.031942765328088284,-0.11327678034238345,-0.021794173513382514,0.14607786025784525,-0.005177096901097727,0.27897204342368653,0.4049576002359775,0.17619976873256804,0.5800054202364118,-0.1894866494322853,-0.21604009274733918,-0.1701361607032964,-0.06519463234021519,-0.1455745956305694,-0.0324730052334128
