subset,mode,p_intrinsic,projection,stage,A_threshold,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support
all_pairs,J_only,0.7,isi,SCA3_entry,0.7978563373093712,72,72,1.0,69,0.9583333333333334,0.8690476190476191,0.1666666666666666,0.03333333333333331,0.2333333333333333,0.1666666666666666
all_pairs,J_only,0.7,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.13771204433929626,7.815178858752105e-17,0.2333333333333333,0.13771204433929626
all_pairs,J_only,0.7,isi,balance,0.5,72,72,1.0,71,0.9861111111111112,0.9857142857142858,0.15516693207413718,7.880905455064357e-17,0.2333333333333333,0.16033386414827439
all_pairs,J_only,0.7333333333333333,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,1.0,0.06666666666666667,0.0,0.15416666666666662,0.06666666666666667
all_pairs,J_only,0.7333333333333333,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.06666666666666667,0.0,0.15,0.06666666666666667
all_pairs,J_only,0.7333333333333333,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.06666666666666667,0.0,0.15,0.06666666666666667
all_pairs,J_only,0.7333333333333333,isi,SCA3_entry,0.7978563373093712,72,72,1.0,70,0.9722222222222222,0.9226190476190478,0.2,0.033333333333333375,0.2666666666666666,0.2
all_pairs,J_only,0.7333333333333333,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.15998595366919688,0.03333333333333331,0.2666666666666666,0.15998595366919688
all_pairs,J_only,0.7333333333333333,isi,balance,0.5,72,72,1.0,71,0.9861111111111112,1.0,0.1666666666666666,0.033333333333333375,0.2666666666666666,0.1666666666666666
all_pairs,J_only,0.7666666666666666,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,1.0,0.10000000000000003,0.0,0.18333333333333335,0.10000000000000007
all_pairs,J_only,0.7666666666666666,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.10000000000000003,0.0,0.18333333333333335,0.10000000000000003
all_pairs,J_only,0.7666666666666666,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.10000000000000003,0.0,0.18333333333333335,0.10000000000000003
all_pairs,J_only,0.7666666666666666,isi,SCA3_entry,0.7978563373093712,72,72,1.0,70,0.9722222222222222,0.9436507936507936,0.23333333333333334,0.0666666666666666,0.3,0.24999999999999997
all_pairs,J_only,0.7666666666666666,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,0.9857142857142858,0.1666666666666666,0.0666666666666666,0.3,0.1666666666666666
all_pairs,J_only,0.7666666666666666,isi,balance,0.5,72,72,1.0,72,1.0,0.9857142857142858,0.1833333333333333,0.0666666666666666,0.3,0.1833333333333333
all_pairs,J_only,0.8,active,SCA3_entry,0.6832817402871161,72,72,1.0,71,0.9861111111111112,1.0,0.1333333333333333,0.0,0.20416666666666666,0.1333333333333333
all_pairs,J_only,0.8,active,WT_exit,0.1483293470542087,72,72,1.0,72,1.0,1.0,0.1333333333333333,0.0,0.20416666666666666,0.1333333333333333
all_pairs,J_only,0.8,active,balance,0.5,72,72,1.0,72,1.0,1.0,0.1333333333333333,0.0,0.20416666666666666,0.1333333333333333
all_pairs,J_only,0.8,isi,SCA3_entry,0.7978563373093712,72,72,1.0,71,0.9861111111111112,0.9654761904761905,0.2666666666666666,0.1,0.3350255629874221,0.2666666666666666
all_pairs,J_only,0.8,isi,WT_exit,0.1358293233470019,72,72,1.0,72,1.0,1.0,0.2333333333333333,0.09999999999999999,0.3333333333333333,0.2333333333333333
all_pairs,J_only,0.8,isi,balance,0.5,72,72,1.0,72,1.0,1.0,0.2333333333333333,0.09999999999999999,0.3333333333333333,0.2333333333333333
all_pairs,J_only,0.8333333333333334,active,SCA3_entry,0.6832817402871161,72,72,1.0,72,1.0,1.0,0.17500000000000002,0.02499999999999998,0.2666666666666666,0.17500000000000002
