subset,projection,p_intrinsic,n_biological_pairs,dA_dcombined_median,dA_dcombined_q25,dA_dcombined_q75,dA_dkappa_median,dA_dkappa_q25,dA_dkappa_q75,dA_dJ_median,dA_dJ_q25,dA_dJ_q75,interaction_gradient_residual_median,interaction_gradient_residual_q25,interaction_gradient_residual_q75
all_pairs,active,0.9,72,,,,1.4991788555982755,0.7849491363008759,3.1835454274784882,-1.261102491811421,-1.671715574226699,-0.7786534620785407,,,
all_pairs,active,0.9333333333333332,72,,,,1.6917015582128982,0.6752997718761087,3.4304168751565496,-1.3494851878693677,-1.6235125023869748,-0.7650508257879614,,,
all_pairs,active,0.9666666666666668,72,,,,1.5029258201419649,0.7068335957105908,3.517767398508132,-1.4479097878845222,-1.8350461666190159,-0.7755594639845147,,,
all_pairs,active,1.0,72,,,,1.6746262932592257,0.7305868739531303,3.6287176379209996,-0.9012238619369419,-1.896259776188645,-0.5667183303658292,,,
all_pairs,isi,0.0,72,,,,1.0602543910907718,0.4859031581998697,1.9389127473389038,-2.2614765470288107,-3.2321016688350586,-1.526081336192767,,,
all_pairs,isi,0.0333333333333333,72,,,,1.0670885246474062,0.47973000648074937,1.738614674299864,-2.219098410187115,-3.1809806493844937,-1.5665181213167232,,,
all_pairs,isi,0.0666666666666666,72,,,,1.152531968134484,0.5820479339623923,1.7439002386495899,-2.0275282082242336,-2.639262584720608,-1.4740485222493551,,,
all_pairs,isi,0.1,72,,,,1.1154436239907302,0.5298096321901783,1.758832863782924,-1.8917791749443227,-2.3018296897011075,-1.3846989509355385,,,
all_pairs,isi,0.1333333333333333,72,,,,1.1734478552731678,0.5344417591614051,1.6923829820422764,-1.6999086833964698,-2.2456541393472618,-1.355963123458238,,,
all_pairs,isi,0.1666666666666666,72,,,,1.2600150750097976,0.5858218093596759,1.7099659502163296,-1.6326140414398718,-2.041144512100096,-1.2750013542380325,,,
all_pairs,isi,0.2,72,,,,1.2696996323881524,0.5008792669025,1.7605775306359455,-1.5161834859793308,-1.8481011207378628,-1.176307678414023,,,
all_pairs,isi,0.2333333333333333,72,,,,1.2819846560537478,0.6321104386342823,1.729926188166423,-1.3843110665173683,-1.6561615033645538,-1.180888459106339,,,
all_pairs,isi,0.2666666666666666,72,,,,1.3294394951574746,0.6269597868033353,1.7317489067881062,-1.3836309965846985,-1.5908936186469491,-1.083380885438123,,,
all_pairs,isi,0.3,72,,,,1.2525460617930337,0.6106406482546166,1.668809875141144,-1.2878689607646572,-1.4531555881547806,-1.0270349021381069,,,
all_pairs,isi,0.3333333333333333,72,,,,1.306986053329591,0.5448279276410442,1.8050520368290413,-1.2332241931880823,-1.4299694738645854,-0.9535241024120826,,,
all_pairs,isi,0.3666666666666666,72,,,,1.2403615199162543,0.5264802543062547,1.763182105406997,-1.1357858924817723,-1.3388485513777026,-0.9405919577436535,,,
all_pairs,isi,0.4,72,,,,1.186958058089158,0.5305193918550515,1.7252760095422341,-1.0960359294013102,-1.3069966983842713,-0.8839363674261482,,,
all_pairs,isi,0.4333333333333333,72,,,,1.178735400045927,0.6221927308027198,1.7637919539191187,-1.0818963727760722,-1.2996366662085808,-0.8239902682451401,,,
all_pairs,isi,0.4666666666666667,72,,,,1.1474323128719273,0.6437694264225426,1.7633343066059393,-1.057016533099973,-1.2166299605872606,-0.8302332656694477,,,
all_pairs,isi,0.5,72,0.36383365132831325,-0.3239700646564835,0.7498348349736775,1.177919914822874,0.5168156372835386,1.8024868290723965,-0.9874096906818947,-1.1980872656966737,-0.7829093052467129,-0.0006668521789462978,-0.008168646232792946,0.00025848767436152664
all_pairs,isi,0.5333333333333333,72,0.37167969255761846,-0.21766666988152597,0.7669697880540629,1.09221579017801,0.5763294899905186,1.8779651421377594,-0.920123533450159,-1.112558743676262,-0.7778874183670627,-0.00010361012321325247,-0.003174804694124192,0.0004630154681158897
all_pairs,isi,0.5666666666666667,72,0.40958749480276707,-0.3378150854340488,0.7404418394859592,1.1179163250927595,0.5694726249612783,1.8164029821899186,-0.897952282415761,-1.1478305265804107,-0.7367417002758648,-0.0007470273397644364,-0.023827836718711998,0.0003481200137221137
all_pairs,isi,0.6,72,0.4953666942167033,-0.24980690729024002,0.7902977253860151,1.1220289975424382,0.5840922241950204,1.837023977319713,-0.8705248495480722,-1.0853484041366828,-0.7194445863853578,-0.0007145939928459605,-0.004178102826571217,0.00045687171181400815
all_pairs,isi,0.6333333333333333,72,0.5360757457789883,-0.24362004821766708,0.9288030709776347,1.1422012148132645,0.6301716236320426,2.0002566418978347,-0.870187667400655,-1.0716169633455124,-0.6998034404861663,-0.0008735356106580049,-0.005513307928762283,3.492592130438507e-05
all_pairs,isi,0.6666666666666666,72,0.5068346758346173,-0.12665521537248314,0.9513100722009336,1.1755627843472962,0.6548395211813545,2.022249699288386,-0.8148868735691379,-1.0826037943594935,-0.6505355891108092,-0.0009797410569389875,-0.006804495409334076,0.0005789488148573588
