biological_pair_key,both_core_secure,projection,stage,A_threshold,median_abs_delta_combined_weighted_median,median_abs_delta_kappa_weighted_median,median_abs_delta_J_weighted_median,median_abs_interaction_weighted_median,median_signed_interaction_weighted_median,scenario_support_with_band
WT_07__TO__SCA3_05,False,isi,WT_exit,0.1358293233470019,0.38661975512956737,0.3416938841548698,0.3102244170622947,0.16737212307000215,0.036390886968990094,0.6428571428571429
WT_07__TO__SCA3_05,False,isi,balance,0.5,0.176243771676736,0.11830317097111931,0.1788165399850925,0.07228869375154146,-0.0011319889378793024,0.9642857142857143
WT_07__TO__SCA3_06,False,active,SCA3_entry,0.6832817402871161,0.5677530186327171,0.9079643373012791,1.1022477931912187,0.5163271872746249,-0.5163271872746249,0.5
WT_07__TO__SCA3_06,False,active,WT_exit,0.1483293470542087,,,,,,0.0
WT_07__TO__SCA3_06,False,active,balance,0.5,,,,,,0.0
WT_07__TO__SCA3_06,False,isi,SCA3_entry,0.7978563373093712,0.07984975679143069,0.2055246225067311,0.20052798603110544,0.05719428258484133,-0.032022261035677846,1.0
WT_07__TO__SCA3_06,False,isi,WT_exit,0.1358293233470019,,,,,,0.0
WT_07__TO__SCA3_06,False,isi,balance,0.5,0.04217775253197065,0.21909742109702246,0.20536314965566915,0.09629649790514638,-0.18976688059730862,0.5
WT_07__TO__SCA3_09,False,active,SCA3_entry,0.6832817402871161,1.6420165152616037,1.0484971735888613,0.5381650669618989,0.1524006594519436,-0.02768041151991757,0.6666666666666667
WT_07__TO__SCA3_09,False,active,WT_exit,0.1483293470542087,2.400883685030996,1.5373565219710403,0.9253298289375653,0.09774818113324668,0.06904091205179697,0.5000000000000001
WT_07__TO__SCA3_09,False,active,balance,0.5,1.8336029726861784,1.1848089100538632,0.703317888301509,0.17174313220165877,-0.0041967646722650236,0.5833333333333335
WT_07__TO__SCA3_09,False,isi,SCA3_entry,0.7978563373093712,0.2992481125814287,0.42754510709981086,0.21293262871610327,0.17049852282600056,-0.1040546627749963,1.0
WT_07__TO__SCA3_09,False,isi,WT_exit,0.1358293233470019,0.2420905505685224,0.22015088084756346,0.1659117821459068,0.15503014430213147,0.03161195533556678,0.6666666666666667
WT_07__TO__SCA3_09,False,isi,balance,0.5,0.08555117500640289,0.34950209281751543,0.16453214608004088,0.19900072223581725,-0.18819302194363638,0.9166666666666667
WT_08__TO__SCA3_01,True,active,SCA3_entry,0.6832817402871161,0.20487513212265027,0.36276540068055274,0.04214795171138325,0.015836788394908152,-0.11591034945808773,1.0
WT_08__TO__SCA3_01,True,active,WT_exit,0.1483293470542087,0.13644738160713418,0.3757255259194651,0.1901418474595463,0.006656489496666834,-0.02944468457403017,1.0
WT_08__TO__SCA3_01,True,active,balance,0.5,0.14005539399359102,0.2713491199384922,0.07186677592715397,0.016121544898523743,-0.024477296556247002,1.0
WT_08__TO__SCA3_01,True,isi,SCA3_entry,0.7978563373093712,0.16013027693597648,0.26289637218319983,0.04952401919968441,0.004028670843488624,-0.004028670843488624,1.0
WT_08__TO__SCA3_01,True,isi,WT_exit,0.1358293233470019,0.1357910457221123,0.3421602654888696,0.16029317638380058,0.0006126612428644235,-0.014107379493118466,1.0
WT_08__TO__SCA3_01,True,isi,balance,0.5,0.15686573035858337,0.2888861679924227,0.10933587482696679,0.001809445367129875,-0.021967009844383156,1.0
WT_08__TO__SCA3_02,False,active,SCA3_entry,0.6832817402871161,0.4416842283419378,0.15806274624325634,0.35159762778119263,0.04773409957748885,-0.8605394498766444,0.8571428571428571
WT_08__TO__SCA3_02,False,active,WT_exit,0.1483293470542087,0.04316648390954284,0.010774370941162903,0.06423071474490705,0.01759780806040369,-0.0047612584576084485,1.0
WT_08__TO__SCA3_02,False,active,balance,0.5,0.35865527866150915,0.08232399498195574,0.258777917513089,0.14084618106804342,-0.2217544727711538,0.8571428571428571
WT_08__TO__SCA3_02,False,isi,SCA3_entry,0.7978563373093712,0.6533053275611939,0.14753496413635997,0.3418853147911446,0.05193998481074576,-0.018132620556331927,0.42857142857142855
WT_08__TO__SCA3_02,False,isi,WT_exit,0.1358293233470019,0.05626104316685706,0.11766079160925785,0.06690119144789561,0.008008135950365494,-0.002159037739393319,1.0
WT_08__TO__SCA3_02,False,isi,balance,0.5,0.32579401520512635,0.0707708842277652,0.1601427896140203,0.0429831063888734,-0.008416179054119843,0.7142857142857143
WT_08__TO__SCA3_04,True,active,SCA3_entry,0.6832817402871161,0.15978420116957676,0.3603577913005805,0.8643733995382861,0.24131731592861339,-0.3117573583430599,0.8333333333333333
WT_08__TO__SCA3_04,True,active,WT_exit,0.1483293470542087,0.014089302183174014,0.10565527682865919,0.09666654191680735,0.029637242982901196,-0.009237363042679247,1.0
WT_08__TO__SCA3_04,True,active,balance,0.5,0.05247420291213349,0.25624135002160486,0.41976353236386965,0.08681667765134221,-0.08684959797467964,0.8333333333333333
WT_08__TO__SCA3_04,True,isi,SCA3_entry,0.7978563373093712,0.03845499496964474,0.4503265371098368,0.13240901510853506,0.017992407372541867,-0.01768470925923863,1.0
WT_08__TO__SCA3_04,True,isi,WT_exit,0.1358293233470019,0.0251252412127166,0.11365172963002973,0.1507964571462913,0.021951755323014792,-0.014197060920322264,1.0
