feature,family,current_pA,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
mean_power_signed_fW,electrical_work,350.0,13,7,23137.433700561403,23585.89969714742,448.46599658601554,-77.11121148735765,1945.3630828858404,0.4285714285714286,exact,77520,0.21981424148606812,0.5424739656628201,0.535797213622291,0.5424739656628201
mean_power_signed_fW,electrical_work,400.0,13,7,30205.275268554688,30786.59118652343,581.3159179687427,-50.07947083771069,2547.7612338869985,0.4285714285714286,exact,77520,0.0989938080495356,0.39278188355138316,0.4798417612659099,0.39278188355138316
mean_power_signed_fW,electrical_work,450.0,13,7,38411.69952392598,38992.31025702671,580.6107331007297,-29.866314329185116,3194.1547393799483,0.47252747252747257,exact,77520,0.09646542827657378,0.39278188355138316,0.4798417612659099,0.39278188355138316
mean_power_signed_fW,electrical_work,500.0,13,7,47838.980865478625,48038.25073242189,199.2698669432648,-144.6507802329652,3913.04931640625,0.3406593406593406,exact,77520,0.29711042311661506,0.6300790007473044,0.6437392500859993,0.6300790007473044
mean_power_signed_fW,electrical_work,550.0,13,7,58002.729263305664,58066.3339233398,63.60466003413603,-414.15832519539254,4111.334762573446,0.25274725274725274,exact,77520,0.5094943240454076,0.7833475232198143,0.8279282765737874,0.7833475232198143
mean_power_signed_fW,electrical_work,600.0,13,7,69065.94177246094,69100.072631836,34.13085937505821,-925.782165527402,3597.969360351257,0.1208791208791209,exact,77520,1.0,1.0,1.0,1.0
work_per_spike_fJ,electrical_efficiency,400.0,9,4,574.1811279296919,1416.2454086004532,842.0642806707613,96.96698283709111,1454.2159749348957,0.6666666666666667,exact,715,0.05314685314685315,0.3440559440559441,0.10386672151378033,0.3440559440559441
work_per_spike_fJ,electrical_efficiency,450.0,10,4,699.3903245731287,1440.286535832788,740.8962112596594,262.4828136882501,1547.0197979170296,0.75,exact,1001,0.06393606393606394,0.39278188355138316,0.10386672151378033,0.39278188355138316
work_per_spike_fJ,electrical_efficiency,500.0,10,4,602.9153636459309,3569.178122216529,2966.262758570598,1063.9456028228487,5422.442432240982,0.8999999999999999,exact,1001,0.004995004995004995,0.07679820179820179,0.024975024975024976,0.07679820179820179
work_per_spike_fJ,electrical_efficiency,550.0,10,7,778.9281728897954,3033.7365521882707,2254.8083792984753,582.867277408468,5833.072498290525,0.7428571428571429,exact,19448,0.08309337721102426,0.39278188355138316,0.10386672151378033,0.39278188355138316
work_per_spike_fJ,electrical_efficiency,600.0,12,6,1117.0198645000864,1949.3211859923128,832.3013214922264,-594.054393379284,9506.70083886872,0.5277777777777777,exact,18564,0.23055375996552468,0.5424739656628201,0.23055375996552468,0.5424739656628201
permutation_entropy_norm,information_dynamics,400.0,9,4,0.8165939247690513,0.9242630041823083,0.10766907941325699,-0.09719027766031241,0.15637694073773956,0.38888888888888884,exact,715,0.3300699300699301,0.6688127404071676,0.4416906622788976,0.6688127404071676
permutation_entropy_norm,information_dynamics,450.0,10,4,0.8181219635350747,0.8775238969878336,0.059401933452758904,-0.15020247441417933,0.1590275317767822,0.10000000000000003,exact,1001,0.5274725274725275,0.797877045555064,0.6086221470836856,0.797877045555064
permutation_entropy_norm,information_dynamics,500.0,10,4,0.8522726053043165,0.928121915066159,0.07584930976184256,-0.03528327739905068,0.10787502221106038,0.25,exact,1001,0.09490509490509491,0.39278188355138316,0.23726273726273728,0.39278188355138316
permutation_entropy_norm,information_dynamics,550.0,10,7,0.8550924741926904,0.9143363728490184,0.059243898656327953,-0.042213615110734785,0.11922753301584299,0.2571428571428571,exact,19448,0.35335252982311804,0.6688127404071676,0.4416906622788976,0.6688127404071676
permutation_entropy_norm,information_dynamics,600.0,12,6,0.9113174005683995,0.8844642119642673,-0.026853188604132217,-0.16180769111352192,0.047348199923592627,-0.38888888888888884,exact,18564,0.6621956474897651,0.8758071466800119,0.7094953365961769,0.8758071466800119
spectral_entropy_norm,information_dynamics,400.0,9,4,0.9352258913034915,0.9516705222662687,0.01644463096277715,-0.030993515007769368,0.0456689295327104,0.4444444444444444,exact,715,0.34825174825174826,0.6688127404071676,0.4416906622788976,0.6688127404071676
spectral_entropy_norm,information_dynamics,450.0,10,4,0.9111321107882191,0.9092413464761455,-0.0018907643120735784,-0.04351206669536012,0.04715884207082155,0.050000000000000044,exact,1001,0.962037962037962,1.0,0.962037962037962,1.0
spectral_entropy_norm,information_dynamics,500.0,10,4,0.8892332707768328,0.8516715910303414,-0.03756167974649138,-0.15569883674090423,0.07732880575256895,-0.10000000000000003,exact,1001,0.2897102897102897,0.6300790007473044,0.4416906622788976,0.6300790007473044
spectral_entropy_norm,information_dynamics,550.0,10,7,0.8701763570490586,0.942133943613824,0.07195758656476536,-0.07596113997465082,0.1073346495863563,0.3142857142857143,exact,19448,0.24203002879473468,0.5424739656628201,0.4416906622788976,0.5424739656628201
spectral_entropy_norm,information_dynamics,600.0,12,6,0.8595469402014753,0.9235759341638808,0.06402899396240558,-0.03129587489242747,0.1396687992552661,0.36111111111111116,exact,18564,0.22882999353587588,0.5424739656628201,0.4416906622788976,0.5424739656628201
predictive_information_nats,information_dynamics,400.0,9,4,1.860128159145499,1.8227789036001663,-0.03734925554533275,-0.1769195318208956,-0.0030242121116550447,-0.6666666666666667,exact,715,0.08251748251748252,0.39278188355138316,0.23726273726273728,0.39278188355138316
predictive_information_nats,information_dynamics,450.0,10,4,1.8694619479512844,1.771173007134085,-0.09828894081719941,-0.39434053831707644,-0.01444534850401058,-0.8500000000000001,exact,1001,0.004995004995004995,0.07679820179820179,0.024102735499794324,0.07679820179820179
predictive_information_nats,information_dynamics,500.0,10,4,1.9079262186056483,1.7832353848849782,-0.12469083372067002,-0.16736798852950252,-0.050648321237764415,-1.0,exact,1001,0.004995004995004995,0.07679820179820179,0.024102735499794324,0.07679820179820179
predictive_information_nats,information_dynamics,550.0,10,7,1.9082983469942212,1.8201185949661964,-0.08817975202802475,-0.1281158455130027,0.0029893530827975745,-0.6857142857142857,exact,19448,0.0064273961332784865,0.08221925133689839,0.024102735499794324,0.08221925133689839
predictive_information_nats,information_dynamics,600.0,12,6,1.920083482909131,1.8071729528487666,-0.11291053006036433,-0.19416608910006716,-0.050317620253478315,-0.9444444444444444,exact,18564,0.0011312217194570137,0.07679820179820179,0.016968325791855206,0.07679820179820179
path_kl_rate_excess_nats_s,observable_irreversibility,400.0,9,4,10.97609663134589,163.44439105258448,152.4682944212386,-10.97609663134589,316.73249613377374,0.5555555555555556,exact,715,0.013986013986013986,0.13232920925228617,0.05244755244755245,0.13232920925228617
path_kl_rate_excess_nats_s,observable_irreversibility,450.0,10,4,52.139855528903226,233.19967011153142,181.05981458262818,-51.37417163684049,501.8207029005814,0.44999999999999996,exact,1001,0.02097902097902098,0.16127622377622378,0.05244755244755245,0.16127622377622378
path_kl_rate_excess_nats_s,observable_irreversibility,500.0,10,4,133.76242037993384,32.637742075944914,-101.12467830398893,-152.67286714569914,127.44455782221044,-0.30000000000000004,exact,1001,0.1958041958041958,0.5351981351981352,0.25658165364047714,0.5351981351981352
path_kl_rate_excess_nats_s,observable_irreversibility,550.0,10,7,125.18340272205211,12.52123496390302,-112.66216775814908,-193.01247860562646,71.19610560234608,-0.4,exact,19448,0.20526532291238173,0.5424739656628201,0.25658165364047714,0.5424739656628201
path_kl_rate_excess_nats_s,observable_irreversibility,600.0,12,6,121.42709493224305,94.6762343705509,-26.75086056169215,-160.47534048685975,273.5269319304353,0.0,exact,18564,0.7496767937944409,0.9706341645970129,0.7496767937944409,0.9706341645970129
