cell_id,parameter,side,loss,near_optimal,b,r,s,kappa_I
SCA3_04,s,LOW,1.1116071428571428,False,1.6686562539169705,0.0019816489274298013,0.1537205585840745,1.4278727815771644
SCA3_04,s,HIGH,0.7034159324050357,True,3.463954750279856,0.0005984977503139049,8.308396473112523,0.1986895690405713
SCA3_04,kappa_I,LOW,0.7642727245617333,True,4.537119540928005,0.06332430554886324,0.8420821742217344,0.04118146436550733
SCA3_04,kappa_I,HIGH,0.90830730683898,False,4.661190850819258,0.015051535518467055,6.261664481513121,0.6671582325581954
SCA3_06,b,LOW,1.0672149496951606,False,1.557240155521489,0.07264734539818177,10.984476827757666,0.17129576897624482
SCA3_06,b,HIGH,1.0747706894054732,False,5.305787407074061,0.00010390653997028301,11.988750812354747,0.12703465633575692
SCA3_06,r,HIGH,1.0532076064124107,False,3.039451073962765,0.012104243051508206,0.19966390853868593,0.03362230909771349
SCA3_06,s,LOW,1.1221995095497626,False,3.139562195167537,0.0033722422607465686,0.3183136564620956,0.013126247906085613
SCA3_06,s,HIGH,1.0820108650321183,False,5.444805709353037,0.0002673858480715545,4.901698928824343,0.11753478762837888
SCA3_06,kappa_I,LOW,1.197292282033826,False,1.3767465469961577,0.06008639039129237,11.449060665184762,0.006012510334572008
SCA3_06,kappa_I,HIGH,1.1452168822041564,False,5.1832317053955315,0.0007783714907399316,10.05445356935331,0.3477286722018495
SCA3_05,b,LOW,0.9085060105692095,True,3.904773796769174,0.003013767477544106,5.020370133081688,0.354246301933337
SCA3_05,b,HIGH,0.9676894446953579,False,5.304358055961267,0.03344407575550721,8.401641540495927,1.5388335598500043
SCA3_05,r,LOW,0.8233085485171204,True,4.932184173036958,0.0006480540018362354,4.36161393974913,0.33234807607462796
SCA3_05,r,HIGH,0.8401626688842017,True,4.017092229938917,0.05907989665230115,1.6494085627972792,0.2942362699849268
SCA3_05,s,HIGH,0.8173871116499091,True,4.864054646667115,0.0006776655975539675,4.3731695928770025,0.33787682466109326
SCA3_05,kappa_I,LOW,0.8565665889061481,True,4.791687949288009,0.054231416092034905,0.7987933030433494,0.048056185673769514
SCA3_05,kappa_I,HIGH,0.919138460439252,True,2.7246783396644254,0.05915845947230727,7.181695318183479,0.7580592364653818
SCA3_09,b,LOW,1.0614275506941326,True,2.3432297450874695,0.0707211746046489,9.492341680611522,0.933669175891253
SCA3_09,b,HIGH,1.1635533513058005,False,5.498187755697826,0.0003332899026494261,5.0785638396137855,0.3437271582214858
SCA3_09,r,HIGH,1.174464267833638,False,1.1518892052646243,0.03990678841594947,9.420898275952588,0.10468460551718793
SCA3_09,s,HIGH,1.1255872468824983,False,4.4640495924799115,0.00012573627158383291,6.589347163143748,0.1642555888071965
SCA3_09,kappa_I,LOW,1.192338092417372,False,1.4017039845097268,0.010389860693663546,7.7337342320660145,0.04417106079969172
SCA3_09,kappa_I,HIGH,0.8928539522984064,True,2.944433158643898,0.07097043639348026,5.596694353801012,0.9198341083125364
WT_03,b,LOW,0.8893938795410364,False,1.7596032761031684,0.09388040284643144,13.493113512942509,1.305309083305667
WT_03,b,HIGH,0.7049763043704712,False,5.361864388553942,0.08671754085465178,1.422551578254362,0.416876877421388
WT_03,r,LOW,0.557574847805127,True,3.081503153649818,0.00014483319379524033,1.3252208956501612,0.4839416860472601
WT_03,s,HIGH,0.5487699022729832,True,3.0980843953266954,0.00011964054716981899,2.691017994543842,0.5219626851112664
WT_03,kappa_I,LOW,0.7734079297758369,False,5.431380214756243,0.09471910368627103,0.8365837275457372,0.11134960180202343
WT_03,kappa_I,HIGH,0.5723101341372341,True,5.088517117356956,0.08488345966959233,3.279460619295069,1.205927195782613
WT_04,b,LOW,1.1326211865702025,False,1.8048006286993903,0.025257307498312738,5.219608064670376,1.9378456299306743
WT_04,b,HIGH,0.816606929072162,True,5.100692288984847,0.0009171973103136494,2.4319174421422822,1.443876921898457
WT_04,r,LOW,0.8012677425885472,True,4.624715502551803,0.012140216524018104,1.99140956469948,1.6238637867543955
WT_04,r,HIGH,0.8456536868557841,True,3.065695095084834,0.08784163567442398,0.4108667249190021,0.5747883301798449
WT_04,s,HIGH,0.8395482413124595,True,4.9822056485118775,0.0015351811469617397,2.0918407503909955,1.414480091955145
WT_04,kappa_I,LOW,0.8581729322794552,True,3.074943737087533,0.0720546749153909,0.08235405688951111,0.1819782293652072
WT_04,kappa_I,HIGH,0.8781294885928725,False,5.074781597576029,0.012932031766656377,2.0194280563040263,1.9279793419097302
WT_06,b,LOW,0.8745442802801696,False,1.363186953903355,0.09999421310300047,14.696539688757417,1.7340309528229025
WT_06,b,HIGH,0.5383339512917603,True,5.274160798918058,0.00799883670834222,1.7374959882321483,1.2847269319935857
WT_06,r,LOW,0.5598395918970259,True,5.304748410265309,0.010398174812392087,1.7399419220066725,1.288675881978911
WT_06,r,HIGH,0.5716538752915223,True,4.126849470894642,0.08273950299648446,1.8307717301406283,1.5081017380555621
WT_06,s,HIGH,0.605509109669865,True,3.362633132681248,0.00015502187771914303,2.631733463776054,1.015477707458616
WT_06,kappa_I,LOW,1.6916546363758282,False,5.209162098669536,0.0037174677685052485,0.08834808337195413,0.13612824191694334
WT_06,kappa_I,HIGH,0.672647545624048,False,5.429000032258164,0.00021725189183579427,9.664125480323666,1.8143531900754288
WT_07,b,LOW,0.3125,False,0.649025090598403,0.03824429002262171,10.682382764055445,0.059996638730809494
WT_07,b,HIGH,0.3125,False,3.8359387677049455,0.0005998316791669686,2.608884626308604,0.24094399479021808
WT_07,r,LOW,0.3125,False,4.912283813956264,0.00029872785356965256,1.2137254901320897,0.06302761553959277
WT_07,r,HIGH,0.052857815972023124,True,3.1731732961581396,0.0023161004007401357,9.9471348004606,0.4201134569459425
WT_07,s,LOW,0.019293059669461866,True,3.0603635922879153,0.03860625839636553,0.7584332157738324,0.2577102682234195
WT_07,s,HIGH,0.012258704132135367,True,3.199660728323372,0.0012836333937856523,5.173317100224351,0.3200926474498973
