group,cell_id,solution,source,rheobase_J,rheobase_pA,lo_J,hi_J,iterations,status,alt_loss
WT,WT_07,alternative,s_HIGH,1.279733970967049,452.73437499999994,1.2786298001551706,1.279733970967049,7,BRACKET_OK,0.0122587041321353
WT,WT_08,best,best,0.47384922348611636,298.046875,0.4732281891171961,0.47384922348611636,7,BRACKET_OK,
WT,WT_09,best,best,0.674460655746496,265.234375,0.6734673410841301,0.674460655746496,7,BRACKET_OK,
WT,WT_09,alternative,b_HIGH,0.6416812718884191,252.34375000000003,0.6406879572260531,0.6416812718884191,7,BRACKET_OK,0.7505611562329568
WT,WT_09,alternative,r_LOW,0.6565809918239085,258.20312499999994,0.6555876771615425,0.6565809918239085,7,BRACKET_OK,0.7354658124015148
WT,WT_09,alternative,r_HIGH,0.6555876771615425,257.81249999999994,0.6545943624991766,0.6555876771615425,7,BRACKET_OK,0.7234904474880186
WT,WT_09,alternative,s_HIGH,0.6585676211486404,258.98437499999994,0.6575743064862745,0.6585676211486404,7,BRACKET_OK,0.6800141050445945
WT,WT_09,alternative,kappa_I_HIGH,0.6516144185120787,256.25,0.6506211038497127,0.6516144185120787,7,BRACKET_OK,0.6687878520431879
WT,WT_10,best,best,0.6489912667881883,271.48437500000006,0.6480574664043204,0.6489912667881883,7,BRACKET_OK,
WT,WT_11,best,best,1.79414297517395,379.6875,1.792297149067804,1.79414297517395,7,BRACKET_OK,
WT,WT_11,alternative,r_LOW,1.6630893216375813,351.953125,1.6612434955314352,1.6630893216375813,7,BRACKET_OK,0.6474190619098951
WT,WT_11,alternative,s_LOW,1.6889308871236257,357.421875,1.6870850610174797,1.6889308871236257,7,BRACKET_OK,0.7024079327313575
WT,WT_13,best,best,0.6139190612350652,402.3437499999999,0.6133230233115361,0.6139190612350652,7,BRACKET_OK,
WT,WT_14,best,best,0.8923298902068751,275.78125,0.8910659668496417,0.8923298902068751,7,BRACKET_OK,
WT,WT_14,alternative,r_LOW,0.8127027187011624,251.17187499999997,0.8114387953439289,0.8127027187011624,7,BRACKET_OK,0.6302212219966578
WT,WT_15,best,best,0.4820998968182255,157.03125,0.4809006433435533,0.4820998968182255,7,BRACKET_OK,
WT,WT_15,alternative,r_LOW,0.6092207651334789,198.43749999999997,0.6080215116588067,0.6092207651334789,7,BRACKET_OK,0.5312170242503426
WT,WT_15,alternative,s_HIGH,0.5132804871597028,167.1875,0.5120812336850306,0.5132804871597028,7,BRACKET_OK,0.6209955116323642
WT,WT_15,alternative,kappa_I_HIGH,0.5864349491147071,191.01562499999997,0.5852356956400349,0.5864349491147071,7,BRACKET_OK,0.5140033817872869
WT,WT_16,best,best,0.34140597905427295,150.39062499999997,0.3405192102775086,0.34140597905427295,7,BRACKET_OK,
