pair,direction,early,global_KL_window,pair_KL_window,late,pairKL_minus_early,pairKL_minus_late
WT_08__SCA3_09,reverse,0.0369198333220903,0.4267133517002766,0.0395135822989363,0.2837693544235563,0.002593748976846,-0.24425577212461996
WT_09__SCA3_01,reverse,0.0310318041187255,0.0169159194660284,0.013706776104672,0.0107039541575689,-0.0173250280140535,0.0030028219471031
WT_09__SCA3_04,reverse,0.0466846666440948,0.0525369774111759,0.0724693571069652,0.0128860031752001,0.0257846904628704,0.0595833539317651
WT_09__SCA3_06,reverse,0.1382660970373844,0.1123833671218178,0.1381074437660754,1.0320911070545855,-0.00015865327130901163,-0.8939836632885101
WT_09__SCA3_09,reverse,0.0547620001854271,0.1501418300138222,0.0977687022917142,0.516731603051434,0.04300670210628709,-0.41896290075971976
WT_10__SCA3_01,reverse,0.0269592277661514,0.041587559111073,0.073061818569059,0.023414024136776,0.04610259080290759,0.049647794432282996
WT_10__SCA3_04,reverse,0.0378781382115509,0.0033057459141472,0.0411166600910516,0.0078811822123461,0.0032385218795007026,0.033235477878705504
WT_10__SCA3_06,reverse,0.039628255446298,0.0210762614384635,0.0359314813154065,0.4479037974830679,-0.003696774130891499,-0.4119723161676614
WT_10__SCA3_09,reverse,0.0164069750876484,0.0379469950161297,0.0424507454747718,0.2775945680362148,0.026043770387123404,-0.235143822561443
WT_13__SCA3_01,reverse,0.0878817974460976,0.015691591619747,0.0777252802065107,0.0273264571620004,-0.010156517239586896,0.05039882304451031
WT_13__SCA3_04,reverse,0.0481125395392802,0.0678719699827054,0.0869610371258305,0.0105986400134733,0.038848497586550304,0.0763623971123572
WT_13__SCA3_06,reverse,0.0621262065484321,0.1217852101785866,0.0713775653614236,0.7326393309426895,0.009251358812991502,-0.6612617655812659
WT_13__SCA3_09,reverse,0.1156904663603662,0.1763933724576838,0.1475866678005933,0.4742642630219536,0.03189620144022709,-0.3266775952213603
WT_14__SCA3_01,reverse,0.018317444377354,0.00457442132691,0.0154663039544094,0.0193254217988695,-0.0028511404229446015,-0.0038591178444601013
WT_14__SCA3_04,reverse,0.0246281385474689,0.0312468507932352,0.0491472359461045,0.0087913648282127,0.024519097398635597,0.040355871117891795
WT_14__SCA3_06,reverse,0.0671524989962367,0.0312770332129007,0.0787710453980345,0.2657525615796069,0.01161854640179781,-0.1869815161815724
WT_14__SCA3_09,reverse,0.0317947697174986,0.0670414510930978,0.045159357711979,0.3861574681311345,0.013364587994480398,-0.3409981104191555
WT_16__SCA3_01,reverse,0.1117529585190038,0.0665177074381739,0.0494380623063604,0.0483734266271804,-0.0623148962126434,0.0010646356791799982
WT_16__SCA3_04,reverse,0.1045615467746533,0.0319566903528989,0.0625714527722004,0.0191072102287136,-0.041990094002452905,0.0434642425434868
WT_16__SCA3_06,reverse,0.4335018540150205,0.5767986611605672,0.8178112143196282,0.7989852116236169,0.3843093603046077,0.018826002696011312
WT_16__SCA3_09,reverse,0.3050202639856413,0.5874425939678647,0.3155741576593878,0.5776702651060224,0.010553893673746484,-0.2620961074466346
